stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,12,0,0,0,0,0,0,0,1,0,0,17,9,0,0,14,0,0,4,0,0,3,51,0,0,0,14,0,0,1,2,0,0,0,0,0
 24-34,0,0,22.98,173.2,0,0,2.46,0,9.85,0,0.82,24.63,0,0,60.74,53.36,0,0,26.27,0,2.46,29.55,0.82,4.1,28.73,10.67,0.82,0,0,25.45,2.46,0,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,5.64,302.13,0,0,4.03,0,24.98,0.81,0.81,37.87,0.81,0,54.79,25.78,0,0,19.34,2.42,4.83,32.23,0,2.42,39.48,2.42,0.81,1.61,0,14.5,4.83,0,0,5.64,0,0,0,0,0
 48-58,0,0,0.57,315.59,0,0,9.75,0,40.74,0,1.72,44.76,5.74,0,49.92,9.18,0,0,25.25,0.57,9.75,28.12,0,1.72,22.95,0.57,0,0,0,2.87,0.57,0.57,0,2.3,0,0,1.15,0,1.15
 60-70,0,0.98,0,301.33,0.98,0,28.46,0,53.98,0.98,1.96,45.15,3.93,0,43.19,6.87,0,0,48.09,0,34.35,21.59,1.96,4.91,25.52,0,0,0,1.96,1.96,1.96,0,0,1.96,0.98,0,0,0.98,0
 72-82,0,1.96,0,290.57,0.98,0,33.38,0.98,19.63,0,2.94,91.29,0.98,0.98,36.32,19.63,0,0,97.18,0,41.23,38.28,3.93,1.96,47.12,0,0.98,0,1.96,1.96,0,0,0,0.98,0,0.98,1.96,0.98,0.98
 84-94,0,0,0,453.49,3.19,1.06,14.87,0,41.42,0,1.06,156.12,3.19,0,48.85,16.99,0,2.12,343.04,0,19.12,31.86,3.19,1.06,30.8,0,1.06,0,0,3.19,1.06,0,0,0,0,0,1.06,4.25,0
 96-106,0,4.37,0,556.26,7.65,3.28,45.9,2.19,65.57,12.02,12.02,150.81,0,0,90.71,39.34,0,4.37,416.37,0,104.91,56.83,6.56,17.49,153,2.19,3.28,2.19,3.28,25.14,2.19,0,0,4.37,4.37,0,8.74,4.37,0
108-118,0,0,0,270.38,4.6,3.06,30.64,0,55.92,7.66,8.43,87.32,0,0,62.81,18.38,1.53,1.53,515.49,0,99.58,23.74,6.13,6.13,81.19,0.77,1.53,2.3,6.13,13.79,2.3,0,0,3.83,2.3,2.3,3.06,0,0.77
120,0,0,0,215.58,1.96,0,17.64,0,45.08,9.8,3.92,70.55,0,0,107.79,3.92,0,0,346.88,0,76.43,41.16,3.92,5.88,60.75,0,1.96,1.96,3.92,5.88,1.96,0,0,0,0,0,0,0,0
