stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,5.26,0,0,0,36.8,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,231.33,5.26,0,0,78.86,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,160.5,3.15,0,0,97.56,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,4,52,16,0,13,0,0,0,3,0,0,0,0,0,0,0,1,18,0,0,5,157,2,2,7,12,2,45,8,39,63,0,0,1,0
 24-34,0,0,0.82,18.06,0.82,0,15.6,0,0.82,0,4.93,0,0,1.64,1.64,0.82,0,3.28,0,25.45,0,0,4.1,64.85,0,3.28,6.57,0,15.6,0,2.46,5.75,20.52,0,0,4.93,0
 36-46,0,0,0,12.89,0,0,13.7,0,1.61,0.81,0.81,3.22,0,0,0,0,0,0,2.42,14.5,0,0,3.22,29.81,0.81,5.64,1.61,0,9.67,0,2.42,0,8.06,0,0,0,0
 48-58,0,0,0,8.03,0,0,14.35,0,1.72,0,1.72,0.57,0,0.57,0,0,0,1.15,0.57,9.75,0,0.57,0.57,17.21,0,1.15,0.57,0,2.3,0,1.15,0,3.44,0,0,0,0
 60-70,0,0,0,9.82,0,0,21.59,0,0.98,0.98,1.96,1.96,0,0,0,0.98,1.96,3.93,0.98,7.85,0,0.98,1.96,5.89,0,0.98,0,0,3.93,0,0,0,2.94,0,0.98,0.98,0
 72-82,0,0,1.96,15.71,0,0.98,14.72,0.98,1.96,0.98,1.96,3.93,0,1.96,0.98,2.94,0,1.96,0.98,20.61,0,0,1.96,20.61,0.98,0.98,3.93,0,0.98,0,1.96,0,0,0,0.98,0,0.98
 84-94,0,0,0,19.12,1.06,0,4.25,0,1.06,1.06,2.12,8.5,0,0,0,1.06,0,1.06,1.06,8.5,1.06,1.06,0,7.43,0,2.12,4.25,0,3.19,0,3.19,0,3.19,1.06,0,1.06,0
 96-106,0,0,1.09,20.76,0,0,5.46,0,0,0,1.09,1.09,0,0,0,6.56,1.09,0,1.09,7.65,1.09,0,1.09,3.28,0,2.19,4.37,0,1.09,0,2.19,0,0,0,0,1.09,0
108-118,0,0,0,7.66,0,0,2.3,0,0.77,0.77,0,2.3,0,0.77,0,0,0.77,0.77,0.77,3.83,0.77,0.77,1.53,6.89,0,1.53,5.36,0,1.53,0,0.77,0,0.77,0,0,0.77,0
120,0,0,0,9.8,0,0,5.88,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,0,0,7.84,0,1.96,3.92,0,1.96,0,0,0,0,0,0,0,0
