stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,1,2,4,0,0,0,13,0,0,0,0
 24-34,0,0,51.71,0,0.82,0,2.46,0.82,0,0.82,0.82,3.28,0,1.64,0.82,0,0.82,0.82,0,0,14.78,0,1.64,1.64,68.13,0.82,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,34.64,0,1.61,0.81,11.28,0,0,0.81,0,2.42,0,0,0,0,0.81,0.81,0,0.81,12.89,0.81,4.03,0,64.45,1.61,0,0,1.61,0,0,0,0
 48-58,0,0,28.69,0.57,2.87,0.57,9.18,0,0,0.57,0,0,0,1.15,0,0.57,1.72,0.57,0,0.57,12.62,0,0,1.15,39.02,0,0,0,1.15,0,0,0,0
 60-70,0,0,40.24,0,0.98,0,23.56,0.98,0,0,0,1.96,0,0,0.98,0,2.94,0.98,0,0,14.72,0.98,4.91,0.98,50.06,0.98,0,0,1.96,0.98,0,1.96,0
 72-82,0,0,48.1,0,8.83,0,16.69,1.96,0,1.96,0.98,0,0,0.98,0,0,2.94,1.96,0,0.98,12.76,0,4.91,0,27.49,0,0.98,0,1.96,1.96,0.98,0,0
 84-94,1.06,0,72.22,0,5.31,0,27.61,0,3.19,7.43,2.12,6.37,0,2.12,1.06,0,3.19,6.37,0,0,6.37,0,2.12,0,107.27,0,0,0,0,1.06,0,0,1.06
 96-106,2.19,0,69.94,0,6.56,0,20.76,1.09,0,5.46,0,8.74,0,1.09,2.19,0,3.28,3.28,1.09,1.09,10.93,0,10.93,4.37,98.36,0,0,0,0,3.28,1.09,0,0
108-118,0,0.77,139.41,0,2.3,0,40.6,0.77,0.77,11.49,0,3.83,1.53,0.77,0.77,0,2.3,3.06,0,0,9.19,0,7.66,0.77,80.43,0,0,0,0,5.36,0.77,0,0
120,0,0,190.1,0,1.96,0,41.16,0,0,13.72,0,3.92,0,0,1.96,0,1.96,3.92,0,3.92,13.72,0,9.8,5.88,80.35,1.96,0,0,0,3.92,0,0,0
