stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,7,0,0,0,0,0,19,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.28,3.28,27.09,0.82,0,0.82,0,0,78.8,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,168.38,0,0,0,12.89,0,0,0,0.81,0,0,0,0.81,0.81,1.61,0,0,1.61,1051.4,1.61,15.31,0.81,0,0.81,0,0,232.84,0,0,0,0
 48-58,0,0,0.57,0,5.16,0,0,835.46,0,0.57,0,51.07,0,0,0.57,0,0,0,0,0,0.57,12.62,0,0,4.02,1618.13,0,9.75,2.3,0,2.87,0,0,298.95,0,0.57,0,1.15
 60-70,0.98,0,0,0,7.85,0,0,1369.22,0,0.98,0,64.78,0.98,0,0,0,0,0.98,0.98,0.98,0,22.58,0.98,0,0.98,2027.82,0,4.91,3.93,0,6.87,0,0,296.42,0,0.98,0,0
 72-82,0,0,0.98,0,9.82,2.94,0,1210.39,0.98,0.98,0.98,68.72,0,0.98,0.98,0,1.96,0,0,0.98,0,29.45,0,1.96,1.96,1783.68,0,12.76,11.78,0,1.96,0.98,0,178.66,0,3.93,0.98,0.98
 84-94,0,0,2.12,0,20.18,3.19,0,1082.22,1.06,0,0,56.29,0,0,0,4.25,0,2.12,1.06,0,3.19,19.12,1.06,2.12,4.25,943.09,0,21.24,14.87,0,2.12,2.12,1.06,91.34,4.25,2.12,0,0
 96-106,0,0,2.19,0,20.76,1.09,0,667.73,1.09,1.09,3.28,46.99,4.37,0,1.09,1.09,0,1.09,2.19,2.19,1.09,18.58,2.19,1.09,2.19,813.08,1.09,22.95,13.11,2.19,5.46,0,0,46.99,0,2.19,1.09,0
108-118,0,0,1.53,0.77,12.26,1.53,0.77,480.26,3.83,0,0,31.4,0.77,0,0.77,1.53,0,0,0,1.53,0.77,14.55,0,0,2.3,877.79,0,9.96,5.36,0,2.3,0,0,33.7,0.77,3.06,0,0
120,0,0,1.96,0,17.64,1.96,1.96,448.79,5.88,7.84,1.96,48.99,1.96,0,0,0,0,1.96,0,1.96,0,21.56,0,0,5.88,1081.8,1.96,11.76,9.8,0,5.88,0,0,58.79,0,3.92,0,0
