stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,10,4,1,0,0,0,0,0,0,5,0,0,5,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0,135.44,0,0,27.91,18.88,0,0,0,0,0,0,0,16.42,0,0,22.98,0,0
 36-46,0,0,0,0.81,0.81,0,2.42,0,0,0,0,0,0.81,0,0,0,0,0,0,150.66,0,0,56.4,24.98,0,0.81,0,0,0,1.61,0,7.25,0,0,8.06,0,0
 48-58,0,0,0,0,0,0,43.04,0,0,0,2.87,0,0,0,1.15,0.57,0,0.57,0,203.7,0.57,1.72,52.22,25.82,0,0,0.57,0,0,0,0,10.33,0,0.57,4.59,0,0
 60-70,0,0,0,2.94,0,0,350.4,0,0,0,19.63,0.98,0,0,0,1.96,0.98,0,0.98,236.55,0,0.98,20.61,53.98,0,0,0.98,0,3.93,1.96,0.98,8.83,0,0.98,5.89,1.96,0.98
 72-82,0,0,0.98,6.87,0.98,0,702.87,0,0,3.93,70.68,2.94,5.89,2.94,0.98,0.98,0,0.98,15.71,302.35,0,10.8,42.21,119.76,0.98,0,0,0,5.89,0.98,0.98,20.61,0.98,8.83,19.63,7.85,0
 84-94,0,0,1.06,8.5,0,0,379.15,0,1.06,3.19,65.85,0,2.12,0,0,10.62,0,0,21.24,238.96,1.06,4.25,18.05,73.28,0,0,2.12,0,6.37,1.06,0,24.43,0,4.25,18.05,9.56,0
 96-106,0,0,2.19,33.88,4.37,1.09,403.26,1.09,4.37,3.28,106.01,0,19.67,1.09,0,9.84,1.09,1.09,27.32,333.32,0,18.58,13.11,96.17,0,2.19,1.09,1.09,8.74,2.19,2.19,46.99,0,5.46,27.32,22.95,1.09
108-118,0,0,2.3,25.28,1.53,0,228.26,0,0,3.06,94.98,0.77,5.36,2.3,0.77,17.62,0,0.77,27.57,282.64,1.53,13.79,19.92,75.83,0,0,0.77,0,13.02,1.53,3.06,29.87,0,6.89,25.28,15.32,0
120,0,0,0,15.68,0,0,154.82,0,1.96,3.92,105.83,1.96,1.96,1.96,1.96,7.84,0,0,9.8,309.65,0,15.68,19.6,97.99,0,0,0,0,1.96,1.96,0,13.72,5.88,1.96,15.68,25.48,0
