stage,blastomeres,erythrocytes,eye,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,neural,pericytes,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,8.06
 48-58,0,0.57,0.57,0,0,0,0,0,0,0.57,0.57,0.57,0,4.02
 60-70,0,2.94,1.96,1.96,0,0,0,5.89,0,0,0,2.94,0,1.96
 72-82,0,5.89,0,1.96,0.98,0,0.98,0.98,0,0.98,0.98,3.93,0,3.93
 84-94,0,6.37,1.06,1.06,0,0,2.12,0,0,0,0,0,0,5.31
 96-106,0,0,0,2.19,0,2.19,5.46,0,0,0,0,1.09,0,3.28
108-118,0,8.43,0,1.53,0.77,0,6.89,0,0.77,0.77,0,0,0,6.13
120,0,7.84,0,7.84,0,0,5.88,0,0,0,0,5.88,1.96,5.88
