stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1713.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,655.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,44.69,7.89,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,0,0,0,12.59,0,0,0,0,12.59,0,6.29,0,0,0,0,0
 14-21,0,0,1,2,6,13,0,3,0,1,0,8,0,0,0,0,0,0,0,0,0,6,0,1,122,6,0,1,1,0,0,1,2,1,1,84,0,0,5,0,0
 24-34,0,0,5.75,0,4.1,0,0,18.88,0,0.82,0,4.93,0,0,0.82,5.75,2.46,1.64,0,0.82,2.46,18.88,0,4.93,350.51,3.28,9.85,0.82,0,0,0,0,0,1.64,2.46,117.38,0,0,15.6,0,0
 36-46,0.81,0,0.81,0,2.42,0.81,0,53.98,0.81,0,1.61,14.5,0,0,1.61,4.83,0.81,0.81,0,0.81,3.22,33.03,0,1.61,692.88,4.03,20.14,1.61,0,0,0,0,0,3.22,0,152.27,0,0,8.06,0,0
 48-58,0,0,0,0,1.15,0,0,90.66,0,0,1.15,22.95,0,0,1.15,5.74,0,2.3,1.15,0,2.87,38.44,0.57,5.16,480.85,0,11.48,2.3,0,0,0.57,0,0,0.57,0,109.6,0,0,8.03,0,1.15
 60-70,0,0,0.98,0,0,0,0,134.47,0.98,0,1.96,29.45,1.96,0,1.96,8.83,2.94,4.91,0,0.98,3.93,61.84,1.96,4.91,646.82,0.98,13.74,1.96,0,0,0,0,0,0.98,0,100.12,0,0.98,5.89,0.98,0
 72-82,0,0,7.85,0,5.89,2.94,0,120.74,0.98,0,1.96,36.32,2.94,0,1.96,16.69,2.94,0.98,0,0,1.96,61.84,0.98,3.93,464.33,0,26.5,1.96,0,0.98,0,0,0,0.98,0,49.08,0,0,9.82,1.96,1.96
 84-94,0,0,1.06,0,7.43,0,0,116.82,0,0,2.12,40.36,4.25,1.06,1.06,38.23,8.5,11.68,1.06,1.06,5.31,50.98,1.06,2.12,311.18,1.06,26.55,3.19,0,0,0,0,0,2.12,0,32.92,2.12,0,13.81,1.06,0
 96-106,0,0,1.09,0,4.37,1.09,0,96.17,0,0,2.19,20.76,5.46,0,0,44.81,3.28,7.65,0,3.28,3.28,40.44,1.09,2.19,224.03,0,26.23,3.28,0,0,0,0,0,4.37,0,8.74,3.28,2.19,16.39,1.09,0
108-118,0,0,2.3,0,5.36,0,0.77,74.3,0,0.77,0.77,27.57,5.36,0,0.77,45.19,6.89,14.55,1.53,3.83,3.83,25.28,0.77,0.77,221.36,0,14.55,4.6,0,0,0,0,0,7.66,0,13.79,0,0.77,13.02,0,0.77
120,0,0,0,0,3.92,1.96,1.96,64.67,0,0,0,23.52,1.96,0,1.96,31.36,5.88,3.92,0,1.96,3.92,17.64,0,0,199.9,0,15.68,1.96,0,0,1.96,0,0,3.92,0,13.72,3.92,0,9.8,0,0
