stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,taste
  3-4,0,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,24.52,355.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0
  7-9,10.51,2.63,5.26,0,0,13.14,0,0,10.51,0,0,0,157.72,5.26,0,0,65.72,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,3.15,0,0,3.15,0,0,0,132.17,0,0,0,37.76,0,3.15,9.44,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0.82,1.64,0,4.93,0,0,1.64,0,1.64,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0.81,1.61,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.72,0.57,0.57,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,2.12,0,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,3.28,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,2.3,0,0.77,0,0
120,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0
