stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,14,0,0,0,0,2,0,1,3,8,0,0,1,0,0
 24-34,0,0,0,5.75,0,0,3.28,0,0.82,0,0.82,0,0,1.64,0,0.82,0,0,0,0,9.03,0.82,0,0.82,50.89,0,4.93,0.82,0,18.88,0,0,0,9.03,0,0,1.64,0,0.82
 36-46,0,0,0,0.81,0.81,0,4.83,0,0.81,1.61,1.61,0,0,0,0,0,0,0.81,0,2.42,7.25,0,0.81,0,20.14,0,4.83,0,0,27.39,0.81,0,0,8.06,0,0,0.81,0,1.61
 48-58,0,0,0,1.15,0,0,10.33,0.57,0.57,4.02,1.72,0,0,0.57,0,0,0,0,0,4.59,9.75,0,0,2.3,17.79,0.57,6.31,0,0,14.35,0,0.57,0,4.02,0,0,1.15,0,2.87
 60-70,0,0,0,0.98,0,0,12.76,0,0,3.93,0,0,0.98,0,0.98,0,0.98,0.98,0.98,2.94,4.91,0,0,0.98,14.72,0,7.85,0,0,18.65,0,0,0,1.96,0,0,1.96,0,1.96
 72-82,0,0,0,1.96,0,0,16.69,0,0,5.89,5.89,0.98,0,1.96,2.94,2.94,2.94,4.91,0,3.93,17.67,0,0,1.96,36.32,0,17.67,0.98,0.98,15.71,0.98,0,0,0.98,0.98,0.98,4.91,0.98,2.94
 84-94,0,0,0,2.12,0,0,10.62,0,0,3.19,3.19,8.5,1.06,0,0,2.12,2.12,0,0,4.25,12.74,0,0,1.06,16.99,0,5.31,0,0,38.23,1.06,0,0,1.06,0,2.12,6.37,0,0
 96-106,0,1.09,0,7.65,0,2.19,17.49,0,1.09,7.65,3.28,3.28,0,0,2.19,2.19,5.46,6.56,1.09,6.56,21.86,0,0,0,20.76,1.09,10.93,0,1.09,42.62,1.09,0,0,2.19,0,0,7.65,0,2.19
108-118,0,0,0,4.6,0,0.77,12.26,0.77,0.77,5.36,3.06,1.53,0,0,1.53,0.77,6.13,4.6,2.3,5.36,14.55,0.77,0.77,0,20.68,0.77,10.72,1.53,0,16.09,1.53,0,0,0.77,1.53,0,3.83,0.77,0.77
120,0,0,0,7.84,0,0,7.84,1.96,0,5.88,5.88,0,0,0,7.84,1.96,1.96,9.8,1.96,3.92,11.76,0,0,0,21.56,0,7.84,0,0,21.56,0,0,0,0,0,0,5.88,0,0
