stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,9,12,0,0,0,0,1,0,0,0,33,0,28,13,0,0,0,0,0,0,0
 24-34,1.64,0.82,0,0,0,0,0.82,0.82,0,0,50.07,0,20.52,10.67,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,45.92,0.81,23.36,4.03,0.81,0,0,1.61,0,2.42,0
 48-58,0,0,1.15,0,0.57,0,0,0,0.57,0,36.72,2.3,12.62,1.72,0.57,0,0,0.57,0,2.3,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,54.97,3.93,9.82,8.83,0,0,0,0.98,1.96,1.96,0.98
 72-82,0,0,0,0,6.87,0.98,0,0.98,1.96,0,71.66,4.91,16.69,4.91,0,1.96,0,0.98,3.93,2.94,0.98
 84-94,1.06,0,2.12,1.06,3.19,0,0,1.06,7.43,0,47.79,8.5,3.19,11.68,0,0,0,0,4.25,4.25,8.5
 96-106,0,0,3.28,0,3.28,0,0,0,2.19,0,45.9,5.46,4.37,9.84,0,1.09,1.09,0,5.46,3.28,3.28
108-118,0.77,0,2.3,0,0.77,0.77,0,0.77,3.83,0.77,56.68,3.06,4.6,6.89,0,0.77,0,0,1.53,3.83,3.06
120,0,0,1.96,0,1.96,0,0,0,3.92,0,35.28,1.96,3.92,1.96,0,1.96,0,0,0,1.96,0
