stage,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  5-6,12.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,1.64,0,0,0,1.64,0,0,1.64
 36-46,0,0,0,0.81,0,0,13.7,0,0,4.83
 48-58,0,0.57,4.02,0,0,0.57,21.23,0,0,2.87
 60-70,0,0,10.8,0,0,0.98,29.45,0,0,7.85
 72-82,0,0.98,6.87,0.98,0,0.98,32.39,0,0,3.93
 84-94,0,0,8.5,0,0,0,12.74,0,0,1.06
 96-106,0,0,8.74,0,0,0,14.21,0,1.09,0
108-118,0,0,1.53,1.53,0,0.77,18.38,0,0,0
120,0,0,3.92,0,1.96,0,11.76,0,0,1.96
