stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,126.18,2.63,0,34.17,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,0,0,0,22.03,0,0,0,9.44,0,0,0,0,0,0,0,0,0,239.17,18.88,0,81.82,0,0,0,9.44,0,3.15,0,0,0
 14-21,0,3,14,4,0,9,0,1,1,1,2,0,0,0,0,1,9,0,2,74,4,1,5,0,0,14,0,1,14,38,0,0
 24-34,0,0.82,2.46,0.82,0,1.64,0,0.82,0,0,0,0,0,0,0,0.82,7.39,0,4.1,55,2.46,1.64,0,0,4.1,0,0,0,2.46,20.52,2.46,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,4.83,0,0.81,36.26,0.81,0.81,0,0,2.42,0,0.81,0.81,0,7.25,0.81,0
 48-58,0,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,2.87,0.57,0.57,18.94,1.15,0,0,0.57,1.72,0,0,0,0,6.31,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0,0.98,0,0,2.94,0,0,9.82,0,0,0,0,2.94,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,0,0,0,5.89,0,0,0,0.98,0,0,0.98,0,1.96,0.98,0,4.91,0.98,1.96,0,0,2.94,0,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,2.12,0,7.43,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,4.37,0,0,0,3.28,0,0,0,0,1.09,0,0,4.37,1.09,0,0,0,8.74,0,0,0,0,1.09,2.19,2.19
108-118,0,0,0.77,0,0.77,0.77,0.77,7.66,0.77,0,0,2.3,0,0,0,0,2.3,0,0,5.36,0,0,0,0,6.89,0,0,0.77,0,0.77,0.77,0
120,0,0,0,1.96,0,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,1.96,1.96,0,0,5.88,0,0,1.96,0,1.96,0,0
