stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,1,1,0,2,3,0,0,0,0,0
 24-34,0,9.85,0.82,0,2.46,0,0.82,0,0,0,0.82,1.64,0.82,0,0.82,0.82,0,0,0.82,22.16,0.82,0.82,0,2.46,0,0,0.82,0,7.39,0,0,1.64,0,0
 36-46,0,0.81,0,0,3.22,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,51.56,0,0,0.81,2.42,0,0,0,0,11.28,0,0,0.81,0,0
 48-58,0,2.87,0.57,0,8.61,0,0.57,0,0.57,0.57,0,0,0,0,0,0.57,0,0,0,49.92,0,1.15,0,1.72,0,0,0,0,7.46,0,0,0,0,0
 60-70,0,6.87,0,0,14.72,0,0.98,0,1.96,0,0,0.98,1.96,0,0,3.93,0,0.98,0.98,128.58,0,0,0,4.91,0,0,0,0,15.7,0,0.98,0,0,0
 72-82,0,5.89,2.94,0,17.67,0.98,0,0,4.91,1.96,0.98,0.98,0.98,0,0,6.87,1.96,0,0.98,104.06,0,2.94,1.96,2.94,0,0,0,0,9.82,0,0,0.98,0.98,0
 84-94,0,8.5,2.12,0,10.62,0,0,1.06,5.31,1.06,0,1.06,2.12,0,0,3.19,2.12,0,0,29.74,0,1.06,0,7.43,0,0,0,0,0,0,0,0,0,0
 96-106,0,2.19,3.28,0,3.28,0,1.09,0,0,1.09,0,1.09,1.09,0,0,2.19,1.09,0,1.09,19.67,0,0,0,5.46,0,0,0,0,1.09,1.09,0,0,2.19,0
108-118,0.77,0.77,1.53,0.77,9.96,0,0,0,2.3,2.3,0.77,1.53,0,0.77,0,3.83,0.77,0.77,0,30.64,0,1.53,1.53,3.83,0,0,0,0,0.77,0.77,0,0.77,0,0.77
120,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,3.92,0,0,0,21.56,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
