stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,3,1,7,1,0,0,0,0,505,1,0,1,1,0,0,0,0,0
 24-34,0,0.82,4.1,0.82,0,4.1,0,4.93,0,0.82,0,0,0,0,0,0,0,0,2.46,6.57,0.82,24.63,0,0.82,0,0,0,708.4,0,0.82,0,4.93,0,0,0,0,0
 36-46,0,0,2.42,0.81,0,2.42,0.81,6.45,0,1.61,0,0,0,0.81,0,0,0,0.81,2.42,6.45,0.81,17.72,0,0,0,0,0,865.29,0,0.81,0,9.67,0,0,0.81,0,0.81
 48-58,0,0,3.44,0,0,13.77,0,17.21,0,1.15,1.15,0,0,1.72,0,0.57,0,0,5.74,8.61,1.15,31.56,0,0,0.57,0,0,906.61,0,0,0,8.03,0,0,1.72,0,1.15
 60-70,0,0,9.82,0,0,15.7,0,14.72,0,0.98,0,0,0,1.96,0.98,0,0,0,1.96,3.93,0,14.72,0,0.98,0,0,0,692.95,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0,32.39,0,0,8.83,0,15.71,0.98,1.96,0,0,0,4.91,0,0,0,0,4.91,3.93,0,14.72,0,0,0.98,0,0,776.49,0,0,0,0,0.98,0,1.96,0,0.98
 84-94,0,0,89.21,0,0,7.43,0,48.85,0,0,2.12,0,2.12,20.18,0,0,0,0,4.25,19.12,0,4.25,0,3.19,0,0,0,2353.47,0,0,0,0,3.19,0,3.19,0,0
 96-106,0,0,167.21,2.19,1.09,10.93,0,75.41,1.09,3.28,8.74,0,1.09,19.67,0,0,2.19,0,5.46,22.95,3.28,34.97,0,0,0,0,1.09,2113.57,0,1.09,0,1.09,3.28,0,1.09,0,0
108-118,0.77,0,138.64,0,0,6.89,0,90.38,0,3.83,7.66,0,0.77,32.17,0,0.77,0,0,7.66,29.87,0.77,21.45,0,0.77,0,0,0.77,1702.74,0,0,0,0,5.36,0.77,1.53,0.77,0
120,0,0,64.67,1.96,0,0,0,41.16,0,0,3.92,1.96,0,17.64,0,0,0,0,3.92,9.8,0,13.72,0,0,0,0,0,660.45,0,0,0,1.96,1.96,0,0,0,0
