stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,9.44,0,0,6.29,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,86,3,1,0,3,0,1,1,0,1,0,2,0,0,1,0,12,0,0,9,22,30,1,1,0,0,62,3,0,6,6,12,0,0,2,0,0
 24-34,0,0,0,0.82,85.37,0,6.57,0,17.24,3.28,3.28,0,0,0.82,0.82,1.64,0,0,0,0,22.98,12.31,0,23.8,60.74,5.75,1.64,0,0,0,540.12,0.82,1.64,0,5.75,16.42,0,0,9.03,0,0
 36-46,0,0,0,0,36.26,1.61,11.28,0.81,20.14,0.81,8.86,0,0,3.22,0,4.03,0,0.81,0,0.81,34.64,11.28,1.61,17.72,65.26,4.83,1.61,1.61,0,0,861.26,0.81,0,0,0,18.53,0,0,2.42,0,0.81
 48-58,0.57,0,0,0,26.4,5.16,36.15,0.57,25.25,0.57,10.9,0.57,0.57,2.87,0,2.87,0,0.57,1.15,1.15,24.1,14.92,1.72,7.46,60.82,4.59,1.15,1.72,0,0,1015.63,0,0,0,0,17.79,0,0,2.87,0,1.72
 60-70,0,0,0,0,37.3,10.8,43.19,0,18.65,0.98,12.76,1.96,0,0,0.98,4.91,0,1.96,0.98,0,23.56,7.85,3.93,7.85,31.41,1.96,0,6.87,0,0,777.37,0,0,0,0,6.87,0,1.96,4.91,0,0
 72-82,0,0,0.98,0,61.84,19.63,36.32,0,18.65,1.96,12.76,10.8,0,0,1.96,9.82,0.98,0.98,0,0,20.61,15.71,2.94,2.94,31.41,0.98,2.94,3.93,0,0,657.71,0,0,0,0,3.93,0.98,0,13.74,1.96,0.98
 84-94,0,0,0,0,96.65,18.05,22.3,0,39.3,3.19,5.31,16.99,0,1.06,2.12,22.3,1.06,2.12,1.06,0,29.74,25.49,5.31,6.37,20.18,3.19,0,5.31,0,0,1482.6,0,1.06,1.06,0,2.12,5.31,0,4.25,2.12,1.06
 96-106,0,0,0,1.09,113.66,21.86,9.84,0,24.04,0,8.74,25.14,0,1.09,6.56,13.11,0,5.46,1.09,1.09,22.95,16.39,5.46,3.28,24.04,1.09,3.28,6.56,0,0,907.06,0,0,1.09,0,1.09,7.65,1.09,10.93,4.37,0
108-118,0,0,0.77,0,81.19,18.38,9.96,0,15.32,2.3,3.83,21.45,0,1.53,3.06,9.19,0.77,0,0,0,15.32,9.96,3.06,3.06,28.34,0,0.77,0.77,0,0.77,429.71,0,0,0.77,0,1.53,5.36,0,9.19,0.77,0
120,0,0,0,0,43.12,15.68,7.84,0,17.64,0,0,23.52,0,0,1.96,1.96,0,0,0,0,9.8,13.72,0,0,15.68,0,3.92,0,0,0,217.54,0,1.96,0,0,1.96,1.96,0,3.92,1.96,0
