stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,92,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,2,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,29,3,0,0,0,0,1,0,5,1,1,3,21,0,0,0,0,0
 24-34,0,0,0.82,4.93,0.82,8.21,0,0,3.28,0,0,0,0,0,0,0,0,0,8.21,0,0,3.28,68.13,0.82,0.82,2.46,0,0,2.46,0,0,0,0,0,17.24,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,4.83,0,0,0.81,0,0,0,0,0,0,0,0,0,5.64,0,0,1.61,43.51,0.81,0,0,0,0,0.81,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,0,9.75,0,0,4.59,0,0,0,0,0,0,0,0,1.15,6.89,0,0,1.72,29.84,0,0,0.57,0,0,1.15,0,0,0,0,0,10.9,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,8.83,0,0.98,3.93,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,34.35,0,0,1.96,0,0,0,0,0,0,0,0,6.87,0,0,0.98,0.98,0
 72-82,0,0,0,3.93,0.98,13.74,0,0,6.87,0,0,0.98,1.96,0,0,0,0,0,16.69,0,0,1.96,28.47,0,0,0,0,0,1.96,0,0,0,0,0,3.93,0.98,0,0,0,0
 84-94,0,0,0,1.06,1.06,13.81,0,1.06,1.06,0,0,0,2.12,0,0,0,0,0,8.5,0,0,1.06,13.81,0,0,0,0,0,8.5,0,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,0,3.28,2.19,3.28,1.09,0,4.37,2.19,0,0,3.28,1.09,1.09,0,0,1.09,12.02,0,2.19,5.46,14.21,0,3.28,0,0,0,2.19,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,4.6,1.53,6.89,1.53,0.77,3.83,0.77,0,0,0.77,0,0.77,0,1.53,0,4.6,0.77,0,1.53,15.32,0,0,0,0,0.77,4.6,0,0,0,0,0,1.53,0,0,1.53,0,0
120,0,0,0,3.92,0,9.8,0,0,1.96,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,1.96,17.64,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0
