stage,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,1.64,12.31,0,0,0,0,5.75,0,0.82,0
 36-46,0.81,0,0.81,10.47,0,0,0,0,0,0,21.75,2.42,0,0,0,4.03,0,0,0.81
 48-58,0,0,0,24.67,1.15,0,0,1.15,0.57,0,18.94,0.57,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,29.45,1.96,0.98,0,0,1.96,0.98,23.56,1.96,0,0,0,2.94,0,0,0
 72-82,0,0.98,0,7.85,0.98,0,0,0,2.94,0,11.78,0,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,4.25,0,0,1.06,0,3.19,0,4.25,1.06,0,0,0,0,1.06,2.12,0
 96-106,0,0,0,6.56,0,0,0,0,1.09,0,2.19,1.09,0,0,0,1.09,0,0,0
108-118,0,0,0,2.3,0,0,0,0,0.77,0,4.6,0.77,0,0,1.53,0,0,0,0
120,0,0,3.92,3.92,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0
