stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,0,7,11,2,0,0,0,0
 24-34,0,0,2.46,0,0,1.64,0,0,0.82,0,0,0,0,2.46,0,0,0,0.82,0,0,0.82,9.85,0,1.64,0,0,0,2.46,0,1.64,0,5.75,0.82,0,0.82,0,0
 36-46,0,0,1.61,0,0,1.61,0.81,0,0,1.61,0,0,0,1.61,0,0,0.81,2.42,0,0,4.03,12.89,0,0,0,0,0,0.81,0,0,2.42,0,3.22,0,0,0,0
 48-58,0,0,1.15,0,0,1.72,2.3,1.15,0.57,0.57,0,0,0,1.72,0,0,0,8.61,0.57,0,2.87,10.33,0,0,0,0,0,0,0,0,3.44,0,2.3,0,1.15,0,0
 60-70,0,0,0,0,0,4.91,3.93,0,0.98,12.76,0,0,0,0,0,0,0,25.52,0,0,6.87,17.67,0,0.98,0,0,0,0,0,0,2.94,0,0.98,0.98,0.98,0.98,0.98
 72-82,0,0.98,1.96,0,0,4.91,1.96,0.98,0.98,9.82,1.96,0,0,0.98,0,0,0,52.03,0,0,6.87,13.74,0,0,0.98,0,0.98,0,0,0,0,0,0.98,2.94,3.93,1.96,0
 84-94,0,0,7.43,0,0,2.12,3.19,0,0,6.37,3.19,0,0,4.25,1.06,1.06,0,35.05,0,0,2.12,3.19,0,0,1.06,0,1.06,1.06,0,0,2.12,0,1.06,0,7.43,3.19,0
 96-106,0,0,2.19,2.19,1.09,6.56,2.19,0,1.09,7.65,2.19,3.28,2.19,6.56,0,0,0,43.71,0,0,3.28,7.65,3.28,4.37,0,0,2.19,3.28,0,1.09,4.37,0,2.19,1.09,6.56,2.19,0
108-118,0,0,5.36,0,0,3.83,3.83,2.3,0.77,8.43,0.77,0.77,2.3,6.89,4.6,0,0,42.89,0,2.3,7.66,5.36,0,0,1.53,0,1.53,0.77,0,0.77,2.3,0,0.77,1.53,6.89,1.53,0
120,0,1.96,3.92,0,0,5.88,0,1.96,0,5.88,0,0,1.96,9.8,0,0,0,41.16,0,1.96,1.96,13.72,1.96,0,5.88,0,0,3.92,0,0,3.92,0,3.92,0,9.8,1.96,0
