stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,2,11,2,0,13,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,41,1,0,1,0,1,5,0,0,2,21,0,0,0,0,0
 24-34,0,0,4.1,0,0,13.13,0,0.82,0,2.46,0,0,0,2.46,0,1.64,0.82,0,6.57,0,0,4.1,134.62,0.82,4.1,3.28,0,7.39,0,0,0,2.46,34.48,0,0,5.75,0,0
 36-46,0,0,3.22,0,0,23.36,0.81,0,0,4.03,0,0,0,0,0,0,0,0.81,8.06,0.81,0,1.61,120.85,0,0.81,0.81,0,7.25,0,0.81,0,0,26.59,0,0,2.42,0,0.81
 48-58,0,0,2.3,0,0,43.61,0,0,0,10.33,0,0,0,0,0,1.15,0,0.57,11.48,0,0.57,2.87,88.94,0,1.72,1.15,0,4.02,0,0,0,0,29.26,0,0.57,0,0,0.57
 60-70,0,0,1.96,0,0,45.15,0.98,0.98,0.98,6.87,0,0.98,1.96,0.98,0,0.98,0,0,15.7,0,0,1.96,113.86,0.98,0,0,0,0.98,0,0,0.98,0,11.78,0,0,0.98,0.98,0.98
 72-82,1.96,0,2.94,2.94,0,60.86,0,0,0.98,10.8,2.94,0,0,0,0,0,0.98,0.98,33.38,0,0,2.94,98.17,0.98,0.98,0,0,3.93,0,0,0,0,7.85,0,0,2.94,1.96,2.94
 84-94,2.12,0,5.31,1.06,0,40.36,0,0,0,9.56,1.06,0,2.12,3.19,0,0,0,0,6.37,3.19,0,4.25,36.11,1.06,1.06,3.19,0,10.62,0,2.12,0,0,6.37,0,0,4.25,0,0
 96-106,0,0,3.28,3.28,0,27.32,0,0,1.09,9.84,4.37,1.09,2.19,2.19,0,1.09,1.09,1.09,6.56,1.09,1.09,2.19,39.34,0,1.09,2.19,1.09,12.02,0,0,0,0,1.09,1.09,2.19,2.19,1.09,1.09
108-118,0,0,3.83,1.53,0,26.04,0,2.3,0,3.06,1.53,0,3.83,0,0,0.77,0,0.77,7.66,0,0.77,0.77,26.04,0,2.3,1.53,0,7.66,0,0,0,0,0.77,0,0.77,0,0,0
120,0,1.96,3.92,0,3.92,17.64,0,1.96,1.96,3.92,5.88,0,3.92,1.96,1.96,0,0,1.96,3.92,0,0,0,35.28,1.96,1.96,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0
