stage,axial,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,26,8,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,15.6,0,0,0,0,0,0.82,17.24,2.46,3.28,0,0,0
 36-46,0,0.81,0,1.61,0,0,0,0,0,0.81,0.81,0,0,16.11,0,0,0,0.81,0,1.61,4.83,0,8.86,0,0,0
 48-58,0,0,0.57,2.3,0.57,0.57,0.57,0,0,0.57,0,0,0.57,19.51,0,0.57,0,0,0,0,1.72,0,4.02,0,0.57,0
 60-70,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,17.67,0,3.93,0,0,0,0,2.94,0,1.96,0,0,6.87
 72-82,0,0,0,1.96,0,0,0,0.98,0,1.96,0,0.98,0.98,27.49,0,0,0,0.98,0,0,0.98,0,0.98,0.98,0.98,22.58
 84-94,0,1.06,0,3.19,1.06,0,1.06,1.06,0,1.06,0,2.12,1.06,10.62,0,1.06,0,0,0,0,2.12,0,0,0,0,38.23
 96-106,0,7.65,0,0,0,0,1.09,0,0,1.09,0,1.09,1.09,16.39,0,2.19,0,0,0,0,2.19,0,1.09,0,0,36.06
108-118,0,3.83,0,1.53,0,0,0.77,0.77,0,0,0,0,0.77,17.62,0.77,0,0,0.77,0,1.53,2.3,0,0,0,0,22.21
120,0,7.84,0,0,0,0,1.96,0,1.96,0,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0,23.52
