stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,2,11,1,4,0,0,2,1,0,0,0,0,0,19,0,0,2,11,0,0,0,0,3,1,0,12,0,0,0,0
 24-34,0,1.64,4.93,0.82,8.21,0,0,1.64,1.64,3.28,0,0,0,0,36.94,0.82,0,9.85,26.27,1.64,0.82,0,0,1.64,0,0,9.03,0,0,0,0
 36-46,0,0,3.22,0,6.45,0,1.61,0.81,0,8.06,0,0,0,0,51.56,0,4.83,7.25,11.28,0.81,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,5.74,0,1.72,1.15,0,1.15,0,0,0,0.57,14.92,0,0.57,1.15,4.02,0,0,0,0.57,0,0,0,3.44,0,0,0,0.57
 60-70,0,0,0.98,0,2.94,0,0.98,2.94,0.98,0,0,0,0,0,11.78,0,0,0,3.93,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,17.67,0,0.98,0.98,1.96,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,6.37,1.06,2.12,3.19,0,2.12,1.06,1.06,0,0,13.81,0,1.06,0,1.06,0,1.06,0,0,0,0,0,1.06,0,1.06,2.12,0
 96-106,0,0,0,0,5.46,0,1.09,3.28,0,0,0,2.19,1.09,0,16.39,0,1.09,0,1.09,0,2.19,0,0,0,0,0,2.19,2.19,0,1.09,0
108-118,0,0,0.77,0,8.43,0.77,1.53,4.6,0,0.77,0,0,0,0,14.55,0,0.77,0,3.06,0,1.53,0,0,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,13.72,0,0,1.96,5.88,0,5.88,0,0,0,0,0,1.96,0,0,0,0
