stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,658.9,7524.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,1324,14717.25,0,24.52,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,294.22,42.91,0,0,79.69,122.59,0,0,0,0,0,0,0,0,0
  7-9,233.96,199.78,0,268.13,0,2.63,0,483.68,0,0,0,0,268.13,0,0,0,0,0,0,0,0,0,5607.05,412.71,0,0,2394.76,15.77,10.51,0,0,0,0,0,0,0,0
 10-12,3.15,88.12,0,173.08,0,12.59,0,302.11,0,0,0,0,75.53,0,0,0,0,3.15,0,0,0,3.15,2608.84,377.64,0,0,1255.64,6.29,18.88,9.44,97.56,0,59.79,3.15,0,0,0
 14-21,0,0,0,4,12,6,0,7,0,0,3,5,1,1,0,0,0,0,0,4,0,7,78,6,0,1,3,0,5,38,2,6,80,24,0,2,1
 24-34,0,0,1.64,0.82,9.85,0.82,0,8.21,0.82,0.82,0.82,0,0,0.82,0,0,0,5.75,0,5.75,0,3.28,95.22,0.82,1.64,1.64,0,1.64,0.82,0,2.46,0,7.39,16.42,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,35.45,0,0,2.42,0,0,0,0,0,0.81,1.61,0,4.03,0,3.22,49.15,0.81,0.81,0.81,0,2.42,0,0,1.61,0,0,10.47,0.81,1.61,0
 48-58,0,0,0,0,0.57,0,0,23.53,0,1.15,6.89,0,0,0.57,0,0,0,0,0.57,8.61,0,1.15,37.87,0,0,1.15,0,0,0,0,0,0,0,6.31,0,1.72,0
 60-70,0,0,0,0,1.96,0,0.98,52.02,0,1.96,6.87,0,0,0,0,0,0,0,0,12.76,0,0,27.48,0,0,0,0,0,0,0,0,0,0,1.96,0,3.93,0
 72-82,0,0,0,0,0.98,0,4.91,48.1,0,0,4.91,0,0,0.98,0,0,0,0.98,0,11.78,0,5.89,15.71,0,0,1.96,0,0.98,0,0,0,0,0,3.93,0,4.91,0
 84-94,0,0,0,1.06,1.06,0,5.31,23.36,0,1.06,3.19,2.12,0,1.06,1.06,0,0,0,0,5.31,1.06,2.12,7.43,0,1.06,0,0,1.06,0,0,1.06,0,0,0,0,3.19,0
 96-106,0,0,0,0,2.19,0,2.19,7.65,0,0,3.28,0,0,0,0,1.09,0,1.09,0,3.28,0,2.19,15.3,0,0,0,0,1.09,0,0,0,0,0,0,0,5.46,0
108-118,0,0,0,0.77,0,0.77,6.89,9.19,0,0,1.53,0.77,0,0,0,0,0,0,0,4.6,0,2.3,5.36,0,0,0,0,1.53,0.77,0,0,0,0,0,0,3.83,0
120,0,0,0,0,1.96,0,0,9.8,0,0,1.96,0,0,1.96,0,0,0,0,0,9.8,0,0,13.72,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
