stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,13,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,4,1,12,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,0.82,0,0,0,0,0.82,0,0,17.24,0,5.75,1.64,0,0.82,4.93,0,19.7,0,0
 36-46,0,0,0,0,1.61,0,0,4.03,0,0.81,0,0,0,0,0.81,0,0,22.56,0,12.89,0.81,0,0,0.81,0,15.31,0,0
 48-58,0,0,0,0,7.46,0,0,10.33,0,0,0.57,0.57,0.57,0.57,1.72,0.57,0,20.08,0.57,12.05,1.15,0,0,0,0,9.75,0.57,0.57
 60-70,0,0,0,0,3.93,0,0,8.83,0,0,0,0.98,0,0,3.93,0.98,0.98,11.78,0.98,6.87,1.96,0.98,0,0,0,6.87,0,0
 72-82,0,0,0,0,4.91,0,0,10.8,0,0,0.98,0,2.94,0,1.96,0,0,18.65,3.93,15.71,6.87,0,0,0,0,6.87,0,0
 84-94,0,1.06,0,0,1.06,0,1.06,5.31,1.06,0,1.06,1.06,3.19,0,1.06,0,1.06,11.68,4.25,6.37,12.74,0,1.06,2.12,0,2.12,0,0
 96-106,0,2.19,0,2.19,6.56,1.09,0,6.56,0,0,4.37,1.09,7.65,0,0,0,0,7.65,1.09,20.76,9.84,0,2.19,2.19,0,5.46,0,0
108-118,0,0.77,0.77,2.3,2.3,0,0,4.6,0,0,4.6,0.77,7.66,0,1.53,0,0,6.13,0,20.68,13.79,0,2.3,1.53,0,2.3,0.77,0
120,0,0,0,0,5.88,0,0,0,0,0,1.96,1.96,7.84,0,3.92,0,0,1.96,1.96,11.76,7.84,0,0,0,0,5.88,1.96,0
