stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.7,9.44,0,0,81.82,0,0,0,3.15,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,13,59,7,0,0,0,5,2,3,0,1,0,0,0,1,34,0,0,14,241,1,3,2,2,0,0,1,12,0,18,43,111,0,0,1,0,0
 24-34,0,0,1.64,0,32.83,15.6,41.86,0,1.64,2.46,22.16,0,3.28,0.82,3.28,0.82,0.82,0.82,1.64,135.44,0,0.82,57.46,870.11,1.64,4.1,8.21,0,0,0.82,0,0,0,8.21,45.97,193.72,0,0,14.78,0,3.28
 36-46,0,0,0,0,16.92,1.61,99.1,3.22,1.61,4.03,54.79,0.81,4.03,2.42,0,0,0,0,2.42,157.91,0,0,46.73,1090.07,1.61,1.61,3.22,0,0,0,0,0,0,6.45,5.64,222.36,0,0.81,13.7,0,0.81
 48-58,0.57,0,0,0,36.15,1.15,146.89,1.15,10.9,2.87,131.4,2.3,6.31,2.3,1.15,1.72,1.15,0.57,2.87,242.15,0.57,8.61,44.76,970.88,0,1.72,2.3,0,1.15,0.57,0,0,0,1.72,0,243.29,0,1.15,12.05,0,2.87
 60-70,0,0,0,0,44.17,0.98,146.25,1.96,10.8,4.91,175.69,7.85,0.98,6.87,0,2.94,1.96,0,2.94,262.07,0,7.85,24.54,992.32,0.98,0.98,5.89,0,4.91,0.98,0,0,0.98,0,0,143.3,0.98,5.89,13.74,1.96,0.98
 72-82,0,0,0.98,0,62.83,0.98,181.61,1.96,13.74,24.54,275.85,12.76,3.93,11.78,2.94,3.93,1.96,0,0,480.03,0.98,19.63,50.06,932.58,0.98,1.96,5.89,0,0,0.98,0.98,0,0.98,0.98,0,90.31,1.96,12.76,44.17,12.76,0.98
 84-94,0,0,1.06,0,77.53,3.19,103.02,5.31,16.99,10.62,140.19,13.81,4.25,8.5,8.5,5.31,3.19,0,6.37,261.26,0,16.99,26.55,473.67,3.19,0,2.12,0,0,2.12,0,0,0,2.12,0,57.35,7.43,9.56,28.68,9.56,0
 96-106,0,0,2.19,0,77.59,2.19,84.15,5.46,19.67,10.93,150.81,26.23,1.09,24.04,1.09,6.56,1.09,2.19,0,285.23,0,9.84,20.76,354.08,1.09,3.28,7.65,1.09,3.28,2.19,3.28,0,0,1.09,0,29.51,5.46,12.02,55.74,7.65,0
108-118,0,0,0.77,0,67.4,3.06,66.64,0,25.28,3.83,130.21,12.26,2.3,13.79,2.3,6.13,2.3,0,1.53,217.53,0.77,7.66,13.79,418.22,0,4.6,3.83,0,3.83,2.3,0,0,0,1.53,0,14.55,2.3,2.3,26.81,3.83,2.3
120,0,0,0,0,86.23,0,45.08,1.96,5.88,5.88,111.71,13.72,1.96,21.56,3.92,3.92,1.96,0,0,168.54,0,7.84,23.52,339.04,0,1.96,5.88,0,0,3.92,0,0,0,0,0,19.6,5.88,3.92,21.56,3.92,3.92
