stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,3,0,1,1,0,0,0
 24-34,0,0,1.64,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,12.31,0,0,0,0,0,1.64,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,0.81,0,0,0,0.81,2.42,0,0,10.47,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81
 48-58,0,0,0.57,0,2.87,0,0,0.57,0,0,0,0,0.57,1.15,0,0,8.61,0,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,1.96,0,8.83,0,0,0,0,0,0.98,0,0.98,0.98,0,0.98,8.83,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,1.96,0,0,8.83,0,0,0,0,0,0,0,9.82,3.93,0,0,6.87,0,1.96,0.98,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,0,1.06,0,5.31,0,0,0,0,1.06,0,0,20.18,1.06,0,0,4.25,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,1.09,1.09,0,1.09,2.19,0,0,0,1.09,60.11,1.09,1.09,0,8.74,0,1.09,0,0,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0.77,0,0,4.6,0,0.77,0,0,0,0,0,124.85,3.06,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,54.87,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
