stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0
 24-34,0,0,2.46,0,0.82,0,4.93,0,0,0,0.82,0,0,0,0.82,0.82,0,0,1.64,0,0,0,29.55,0.82,12.31,0,0,126.41,0,17.24,0,0
 36-46,0,0,0,0,0.81,0,8.86,0,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,72.51,0,16.92,0,0,176.44,0,20.14,0,0.81
 48-58,0,0,0.57,0,0.57,0,14.35,0,0.57,0.57,1.72,0,0,0,0.57,0,0,0,1.15,0.57,0,0,81.48,0,24.67,0.57,0,161.24,0,13.77,0,0
 60-70,0,0,0.98,0,3.93,0,113.86,0.98,0.98,0,1.96,0,0,0,0.98,0,0.98,0.98,1.96,0.98,0,0.98,160.97,0.98,15.7,0,0,190.42,0,14.72,0.98,0
 72-82,0,0,2.94,0,5.89,0,460.4,0,5.89,0,15.71,0,0.98,0.98,0.98,0,0,0,7.85,0.98,0,1.96,174.74,0,43.19,0.98,0,317.08,0,9.82,4.91,1.96
 84-94,1.06,0,1.06,0,9.56,1.06,288.87,0,14.87,0,10.62,1.06,0,0,5.31,0,1.06,0,6.37,11.68,0,0,97.71,1.06,31.86,1.06,0,963.27,1.06,3.19,21.24,2.12
 96-106,0,0,1.09,0,34.97,2.19,399.98,1.09,2.19,0,12.02,0,1.09,3.28,12.02,1.09,2.19,1.09,13.11,12.02,1.09,0,98.36,0,81.96,1.09,0,789.04,0,3.28,30.6,1.09
108-118,0,0,0,0,29.87,0.77,260.43,0.77,13.79,0,5.36,1.53,0,1.53,13.02,0,1.53,0,8.43,10.72,0,0.77,98.81,0,41.36,1.53,0,690.9,0,1.53,31.4,3.06
120,0,0,0,0,43.12,0,321.4,0,19.6,0,5.88,3.92,0,5.88,3.92,0,0,0,5.88,5.88,0,0,115.63,0,35.28,0,0,458.59,0,1.96,19.6,1.96
