stage,blastomeres,epidermis,eye,glial,gut,lateral_line,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.89,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15
 14-21,0,0,1,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,0,0,1.96,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,31.86,0,0,0,0,0
 96-106,0,2.19,1.09,1.09,1.09,1.09,118.03,1.09,15.3,0,0,0
108-118,0,0,0.77,0.77,0,0,261.19,0.77,9.19,0.77,0,0
120,0,0,1.96,0,1.96,0,133.27,0,5.88,0,0,0
