stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,6,6,0,2,0
 24-34,0,0,0.82,1.64,0.82,0,0.82,0.82,0,0.82,2.46,0,0,0,0,0,1.64,0,0,0.82,19.7,1.64,0,1.64,9.85,0,4.1,0
 36-46,0,0,0.81,0,1.61,0,1.61,0,0,0,4.03,0.81,0,0,0,0,0.81,0,0,4.03,55.59,0.81,0,1.61,9.67,0,0.81,0
 48-58,0,0,0.57,0,10.33,0,0,1.15,0,0.57,4.02,1.15,0,0,0,0,3.44,0.57,0,1.15,68.28,1.72,0.57,1.15,20.08,0,1.15,0.57
 60-70,0.98,0,0.98,0,21.59,0,0,3.93,0,0,7.85,0,0,0.98,0.98,0,2.94,0,0,0,119.75,2.94,0,7.85,21.59,0,1.96,0
 72-82,0,0,0.98,2.94,30.43,0,0,4.91,0,0,20.61,0,0,0,0,0,9.82,0,0,0.98,95.22,2.94,0,2.94,5.89,0,4.91,0
 84-94,0,1.06,0,1.06,19.12,0,0,3.19,1.06,0,26.55,0,1.06,1.06,0,1.06,9.56,0,0,0,56.29,0,0,8.5,6.37,0,1.06,1.06
 96-106,0,0,1.09,2.19,17.49,0,0,2.19,1.09,0,31.69,0,0,0,0,0,4.37,0,0,0,45.9,0,1.09,9.84,1.09,0,3.28,0
108-118,0,0,0,4.6,15.32,0.77,0,3.06,0,0,27.57,1.53,0,0,0,0,2.3,0.77,0.77,0,30.64,0.77,0.77,3.83,0.77,0,2.3,0
120,0,0,1.96,3.92,19.6,0,0,3.92,3.92,0,35.28,0,0,0,0,0,3.92,0,0,0,29.4,1.96,0,3.92,0,1.96,7.84,0
