stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,9,1,1,0,0,1,0,4,1,0,0,1,6,0,0,0,0,1,0,5,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,0,0,0,0,5.75,0,0.82,0.82,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,4.59,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,16.69,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0,0.98,0,64.79,0.98,0,0.98,5.89,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0.98
 84-94,0,0,1.06,0,0,4.25,0,0,0,0,0,0,2.12,0,0,0,263.39,3.19,0,0,19.12,0,0,0,0,0,0,0,0,0,0,2.12,0,1.06
 96-106,0,0,4.37,2.19,0,14.21,1.09,0,3.28,3.28,0,0,1.09,1.09,1.09,1.09,425.12,8.74,0,0,48.09,1.09,0,0,1.09,4.37,0,0,0,0,2.19,3.28,3.28,0
108-118,0,0,3.83,0.77,0.77,4.6,0.77,0.77,3.83,6.89,0,0,0.77,0,0.77,0,890.05,5.36,0,0.77,46.72,0,0.77,0,0,3.83,0,1.53,0,0.77,0,0,0,0
120,0,0,5.88,0,0,1.96,0,0,3.92,11.76,0,0,0,0,0,0,305.73,3.92,0,1.96,19.6,0,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0
