stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,18.4,0,0,7.89,0,0,0,0,207.67,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,13.14,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,22.03,0,0,18.88,0,0,0,0,292.67,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,12,2,0,0,2,0,46,0,0,0,0,0,1,11,0,0,9,42,0,1,0,0,0,1,2,2,1,9,0,0,0,0,0
 24-34,0,0,1.64,0,2.46,0,9.85,0.82,0,2.46,0,0,0.82,0,0,0,0,0,6.57,0,0,1.64,100.97,0,24.63,0,0,2.46,0,0,0.82,0,18.06,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,9.67,0,0,2.42,0,0,1.61,0,0,0,0,0.81,7.25,0,0.81,2.42,91.04,0,39.48,0,0,0,0,0,0,0,24.98,0,0,0.81,0,0
 48-58,0,0,2.87,0,0,0,21.23,0.57,0,4.02,0,0,3.44,0,0,0,0,0,6.31,0,1.72,1.15,84.35,0.57,22.38,0,0,1.15,0,0,1.15,0.57,26.97,0,0,0,0,1.15
 60-70,0,0,0,0,1.96,0,23.56,0,0,3.93,0.98,0,5.89,0,0,0,0,0,13.74,0,0,0.98,153.12,0,33.37,0,0,0,0,0,0,0,38.28,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,29.45,0.98,0,4.91,0,0,0.98,0,0,0.98,0.98,0,15.71,0,0.98,0,208.11,0,45.16,0.98,0,0,0,0,0,0,25.52,0,0.98,1.96,0,0.98
 84-94,0,0,0,0,5.31,0,21.24,0,1.06,11.68,0,0,4.25,0,0,1.06,0,0,12.74,0,1.06,3.19,139.13,0,38.23,1.06,0,0,0,0,0,0,19.12,1.06,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,16.39,0,0,10.93,0,0,1.09,1.09,0,4.37,0,1.09,14.21,0,0,2.19,114.75,0,73.22,1.09,0,0,0,0,0,0,10.93,1.09,0,1.09,0,1.09
108-118,0,0,0,0,1.53,0,16.85,0,0,11.49,0,0,0.77,0,0.77,0,0,0,9.96,0.77,0,1.53,124.85,0,46.72,0,0,0,0,0,0,0,6.13,1.53,0,1.53,0,1.53
120,0,0,0,0,1.96,0,11.76,0,0,1.96,0,0,0,0,0,1.96,0,0,11.76,0,0,1.96,182.26,0,39.2,0,0,0,0,0,3.92,0,1.96,0,0,0,1.96,0
