stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,6.29,0,147.91,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,2,2,0,0,3,0,0,23,8,55,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,9.85,0,0,3.28,4.93,0,0,0,0,0.82,0,4.1,28.73,0.82,0,0,0,0
 36-46,0,0,0,0.81,0.81,0.81,0.81,0,0.81,0,0,0,6.45,0,0,0,0.81,12.89,0,0,7.25,8.86,0,0,0,0,0,0,4.03,0,1.61,0,1.61,0,0
 48-58,0,0,0,0,0,0.57,2.3,0,0,0.57,0,0,2.87,0,0.57,0,0.57,13.2,0,0,17.21,10.33,0,0,0,0,0,0,5.16,0,2.87,0,0,0,0.57
 60-70,0,0,0,0,0,6.87,15.7,0,1.96,0.98,0,0.98,2.94,0,0,0.98,0,24.54,0,0,14.72,11.78,0,0,0,0.98,0,0,3.93,0,0,0,0,0,1.96
 72-82,0,0,0.98,1.96,0,5.89,16.69,0,0,0,0,0,0.98,0,0,0,0,31.41,0,2.94,20.61,13.74,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0.98
 84-94,0,0,0,0,0,4.25,26.55,0,0,3.19,0,0,1.06,0,0,0,1.06,11.68,0,0,9.56,7.43,0,1.06,0,0,1.06,0,2.12,0,1.06,0,0,1.06,0
 96-106,0,0,0,2.19,1.09,4.37,31.69,1.09,0,0,1.09,0,5.46,0,0,0,0,13.11,1.09,1.09,6.56,13.11,0,0,0,0,1.09,0,1.09,0,1.09,1.09,0,0,1.09
108-118,0,0,0,1.53,0,0.77,21.45,0,0,0,0,0,3.06,0.77,0,0,0,12.26,0,0.77,13.79,6.89,0,0,0,0,0,0,2.3,0,0,0,0.77,0,3.06
120,0,0,0,0,0,1.96,33.32,0,0,0,0,0,3.92,0,0,0,0,5.88,0,0,11.76,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0
