stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,12,8,0,2,0,0,0,0,0,1,0,0,0,1,0,4,0,2,19,1,0,1,2,1,1,3,1,6,6,0,0,0
 24-34,0,0.82,0,0.82,1.64,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0.82,0,9.85,0,0,1.64,0,4.93,0,0,0,2.46,0.82,0,0.82,0
 36-46,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,1.61,0,6.45,0,0,0,0,1.61,0,0,0
 48-58,1.15,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0,1.15,0,0,0,0,0.57,0,0,0
 60-70,0.98,0.98,0,1.96,0,0,0,0.98,1.96,0,0,0,0,0,0,2.94,0,0.98,3.93,0,0.98,0,0,4.91,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,4.91,0,0,0,0,0,0.98,0,0.98,0,2.94,0.98,0.98,0,0,2.94,0,0,2.94,0,3.93,0,0,0,0,0,0,0,0
 84-94,2.12,1.06,0,3.19,0,1.06,1.06,1.06,0,2.12,1.06,2.12,0,0,0,1.06,0,1.06,5.31,0,0,3.19,0,8.5,0,0,0,0,1.06,0,0,1.06
 96-106,4.37,1.09,0,1.09,0,0,0,1.09,1.09,0,0,0,0,2.19,0,1.09,0,0,3.28,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,2.3,1.53,1.53,3.83,0,1.53,0,0.77,0.77,0,0,2.3,1.53,0,0.77,2.3,0,0,3.06,0,0,6.89,0,6.89,0,0,0.77,0,0,0,0,0
120,7.84,0,3.92,3.92,0,1.96,0,0,1.96,0,0,1.96,0,0,1.96,1.96,0,0,3.92,0,0,0,0,7.84,0,0,0,0,0,1.96,0,0
