stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,2,7,0,0,0,0
 24-34,0,0,0.82,1.64,0,5.75,0,0,0,0,0,0,0,0,0,2.46,0,0,0,21.34,0.82,0.82,1.64,0,0,0,0,0.82,1.64,5.75,0,1.64,0,0
 36-46,0,0,0,1.61,0.81,45.92,0,0,1.61,0,0,0,0,0,0,3.22,0,0,1.61,15.31,0,0.81,0,0,0.81,0,0,0.81,0,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,0,275.43,0,1.15,2.87,0,0,0,0,0,0,1.72,0,0,0,20.66,0.57,0,0.57,0,1.15,0,0.57,4.02,0,2.3,0,0,0,0
 60-70,0,0,0,0.98,0,834.29,0,0,2.94,0,0.98,0,0,0,0,0.98,0,0,1.96,21.59,0,0,0.98,0,0,0,0,1.96,0,4.91,0,0.98,0,0
 72-82,0,0,0,4.91,1.96,846.19,0.98,0,7.85,0,0,0,0,0,0,10.8,0,0.98,1.96,24.54,0,0.98,0.98,0,0.98,0,0,2.94,0,4.91,0,0,1.96,1.96
 84-94,0,0,0,3.19,0,813.52,1.06,0,5.31,0,0,0,0,2.12,0,10.62,1.06,1.06,2.12,13.81,1.06,0,0,0,2.12,0,0,6.37,0,3.19,0,3.19,0,0
 96-106,0,0,0,3.28,0,500.52,0,0,5.46,0,1.09,0,1.09,0,0,4.37,1.09,0,3.28,26.23,0,0,1.09,0,4.37,0,0,5.46,0,1.09,0,0,0,1.09
108-118,0,0,0,2.3,0.77,340.85,0.77,0,3.06,0,1.53,0,0,0,0.77,3.06,0,0,1.53,20.68,0,0.77,0.77,0,0,0,0,10.72,0,0,0,1.53,0,0
120,0,0,0,1.96,1.96,323.36,0,0,5.88,0,1.96,1.96,1.96,0,0,1.96,1.96,0,0,23.52,0,0,0,0,1.96,0,0,1.96,0,1.96,1.96,0,0,0
