stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,27,1,0,0,0,0,2,5,1,1,7,17,0,0,1,0,0
 24-34,0,3.28,0,6.57,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,8.21,0,0,4.93,123.13,0.82,4.1,2.46,0,0,4.93,0.82,1.64,2.46,1.64,31.19,0,0,3.28,0,0
 36-46,0,5.64,1.61,20.95,0,0.81,0,2.42,0,0,0,0,2.42,0,0,0,0.81,11.28,0.81,0.81,3.22,112.79,0,0,0.81,0,0,8.86,0,0,2.42,0,14.5,0,0,0.81,0,0
 48-58,0,2.3,0,29.26,1.15,0.57,1.15,5.74,0,0.57,0,0.57,0,0,0,0,0.57,8.03,0,0,2.3,86.64,0.57,0.57,0.57,0,0,6.31,0,0,1.15,0,13.2,0,0,1.15,0,0.57
 60-70,0,10.8,0,50.06,0.98,3.93,0,3.93,0.98,0,0.98,0,1.96,1.96,0.98,0.98,0.98,16.69,0.98,0.98,1.96,148.21,1.96,0.98,1.96,0,0.98,12.76,0,0.98,3.93,0,14.72,0.98,0,3.93,0,1.96
 72-82,0,8.83,3.93,65.77,3.93,1.96,0,15.71,1.96,0,0.98,0.98,0,0,0.98,0.98,0,33.38,0,1.96,6.87,143.32,0,1.96,1.96,0,0,2.94,0,0,0,0,4.91,0.98,0.98,4.91,0.98,0
 84-94,0,6.37,1.06,32.92,0,0,2.12,6.37,4.25,0,0,0,2.12,1.06,0,1.06,0,14.87,0,0,4.25,54.16,0,2.12,1.06,1.06,0,5.31,0,0,0,0,3.19,0,0,1.06,0,1.06
 96-106,0,1.09,2.19,13.11,0,1.09,2.19,3.28,1.09,0,1.09,2.19,0,0,0,0,0,8.74,0,0,0,21.86,0,0,1.09,0,0,2.19,0,0,0,0,2.19,0,2.19,1.09,0,0
108-118,0,5.36,2.3,9.96,0.77,0,0,3.06,0,0,0,3.06,0,1.53,0.77,0.77,0,8.43,0.77,1.53,0,42.89,0,0,2.3,0,0,2.3,0,0.77,0,0,1.53,0.77,0.77,0.77,0,0
120,0,9.8,1.96,27.44,1.96,3.92,1.96,3.92,0,0,0,5.88,3.92,1.96,1.96,1.96,0,1.96,0,0,1.96,64.67,0,0,0,0,0,15.68,0,0,0,0,1.96,0,1.96,1.96,0,0
