stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,16.92,0,0.81,1.61,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0,0,0,0.57,1.15,0,0,51.64,0,0.57,1.15,0,0,17.79,0,0,0,0
 60-70,0,0,0,0.98,0,5.89,1.96,0,0,0.98,0.98,0,0,0,0.98,0,0,134.47,0,0,1.96,0.98,0,27.48,0,0,0,0
 72-82,0,0,0,0.98,0,34.36,0,1.96,0,3.93,0.98,0,0,0,3.93,0,0,234.62,0,3.93,4.91,0,0,17.67,0,0.98,0.98,0.98
 84-94,0,0,1.06,1.06,1.06,27.61,0,0,1.06,2.12,1.06,0,1.06,4.25,6.37,2.12,0,122.13,0,3.19,9.56,0,1.06,16.99,0,0,0,0
 96-106,0,0,0,3.28,0,55.74,0,0,0,6.56,2.19,1.09,2.19,1.09,8.74,0,0,180.32,0,6.56,6.56,1.09,0,10.93,0,1.09,1.09,0
108-118,0,0,0.77,1.53,0,53.62,0,0,1.53,14.55,0.77,0,0,3.06,2.3,0.77,0.77,180.77,0,4.6,3.06,2.3,0,8.43,0.77,0,0.77,0
120,0,0,0,1.96,0,58.79,0,0,0,21.56,0,0,0,1.96,1.96,0,1.96,244.97,1.96,7.84,5.88,0,0,15.68,0,0,0,0
