stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,32,0,0,1,0,2,3,0,1,10,0,0,0,0
 24-34,0,0,0.82,1.64,0,4.1,0,0.82,0,0,0,0,0,1.64,0.82,0,0,5.75,0,0,0.82,41.04,0.82,0.82,0,0,3.28,0,0,1.64,16.42,0,2.46,0,0
 36-46,0,0,0,1.61,0,10.47,0,0,0,4.83,0,0,0,0,0.81,0,0,8.86,0.81,0,2.42,62.04,0,0.81,0,0,3.22,0,0,0,16.92,0,0,0,0
 48-58,0,0,0,0,0,26.4,0.57,0,0.57,6.31,0,0,0.57,0,0,0,0,11.48,0.57,0,2.87,59.68,1.72,0,0,0,2.87,0,0.57,0,13.77,0,0.57,0,0
 60-70,0,0.98,0,1.96,0,38.28,0,0,0,7.85,0,0,0,0,0,0,0,5.89,0.98,0.98,1.96,57.91,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,1.96,35.34,0,0.98,0,8.83,0,0.98,0,0,0,0,0,13.74,0,0,0.98,44.17,0.98,0,0,0.98,2.94,0,0,0,3.93,0.98,3.93,0,0
 84-94,0,1.06,0,3.19,1.06,20.18,0,1.06,2.12,4.25,2.12,0,0,0,1.06,1.06,0,6.37,0,0,3.19,27.61,0,2.12,0,0,9.56,0,0,0,1.06,1.06,0,0,0
 96-106,0,1.09,0,2.19,1.09,12.02,0,0,0,6.56,1.09,0,1.09,0,0,0,1.09,6.56,0,2.19,1.09,21.86,0,2.19,0,2.19,8.74,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0.77,0,3.06,0.77,13.79,0,0.77,0,1.53,0,0,0,0.77,0.77,0,0,5.36,0,0.77,0,21.45,0,0,0,0,5.36,0,0,0,0,0,0,0.77,1.53
120,0,0,0,3.92,1.96,5.88,0,3.92,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,17.64,1.96,0,0,1.96,13.72,0,0,0,1.96,0,5.88,0,0
