stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,1,1,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,4,0,0,0
 24-34,0,0,0,0,1.64,1.64,0.82,0.82,0,0,0,0,0,0,8.21,0,2.46,6.57,0,0,0,0,0,0,2.46,2.46,0,3.28
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,3.22,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0,3.44,0,0.57,1.72,0,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,9.82,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,1.96,15.71,0,1.96,0,0,0,0,0,0,0,0,0.98,0,4.91
 84-94,0,0,0,0,1.06,2.12,1.06,0,0,0,0,0,0,0,8.5,1.06,1.06,0,0,1.06,0,0,0,0,0,0,0,4.25
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,6.56,0,1.09,0,0,0,0,0,0,0,0,1.09,1.09,10.93
108-118,0,0,0,0,0,0,0,2.3,0,0,1.53,0.77,0.77,0.77,7.66,0,0,3.06,0,0,0,0,0,0,0,0,0,7.66
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96
