stage,endoderm,epidermis,eye,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pronephros,spinal_cord,vasculature
 14-21,1,0,0,1,0,0,1,0,0,1,1,0,0,0,2,2,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,4.93,0,0.82,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,6.45,0,0.81,0,0,3.22,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98
 72-82,0,0,1.96,0.98,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0.98
 84-94,0,1.06,1.06,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,2.3,0,0,1.53,1.53,2.3,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
