stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,5,0,2,7,3,0,0,0,0
 24-34,0,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,7.39,0,0,1.64,4.1,0,0,0.82,0,0,9.03,0.82,0,0,5.75,6.57,0,0,0,0
 36-46,0,0,1.61,0,0,0.81,0,0.81,0,0,0,0,0,0,29.81,0,0,10.47,16.92,0,0.81,0,0,0,4.83,0,0,0,0,8.86,0,0,0,0
 48-58,0,0,1.15,0,0,6.31,0,5.16,0,0,0,0,0,0,86.07,0,1.15,13.2,18.36,0.57,0,0.57,0,0,5.16,0,0,0,0,4.02,0,0,0,1.72
 60-70,0,0,2.94,0,0,4.91,0,7.85,2.94,0,0.98,0,0,0.98,206.12,0.98,5.89,17.67,28.46,0,0,0.98,0,0,5.89,0,0,0,0,8.83,0,0,1.96,7.85
 72-82,0,0,2.94,0.98,0,14.72,0,19.63,3.93,0.98,0,0,0,0,209.09,0,9.82,20.61,31.41,0,0,5.89,0,0.98,5.89,0,0,0,0,8.83,0,9.82,1.96,23.56
 84-94,1.06,0,5.31,0,0,11.68,0,10.62,0,0,0,1.06,1.06,0,116.82,0,7.43,9.56,11.68,0,0,1.06,0,1.06,7.43,0,1.06,0,0,8.5,1.06,12.74,2.12,25.49
 96-106,0,0,5.46,0,0,12.02,0,13.11,3.28,0,1.09,0,0,0,147.53,0,7.65,12.02,18.58,1.09,0,3.28,0,1.09,2.19,0,0,0,0,6.56,0,6.56,1.09,24.04
108-118,0,0,2.3,0,2.3,7.66,0,17.62,0,0,0.77,0.77,0.77,0.77,118.72,0,6.13,10.72,13.02,0.77,1.53,5.36,0,0,1.53,0,0,0,0,7.66,0,6.13,0,20.68
120,0,0,1.96,0,0,9.8,0,11.76,0,0,1.96,0,0,1.96,109.75,0,11.76,5.88,23.52,3.92,0,3.92,0,0,1.96,0,0,0,0,3.92,0,5.88,0,23.52
