stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,10.51,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,157.72,5.26,0,0,42.06,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,72.38,9.44,0,0,37.76,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,4,0,0,0,0,0,1,0,0,0,1,0,4,6,58,0,1,1,1,0,0,0,3,2,0,5,19,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0.82,0,0.82,0,0,0,11.49,0,0,0,0,1.64,0.82,45.15,0,0,0,0,0,4.93,0,0,0.82,0.82,0.82,9.85,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,5.64,0,0,0.81,0,0,0,22.56,0,0,0,5.64,6.45,1.61,34.64,0,0,0,0,0,2.42,0,0,0.81,0,0,8.06,0,2.42,0,0
 48-58,0,0,0,0,1.15,0,0,7.46,0,0.57,6.31,0.57,0,0,20.66,0,0.57,1.15,12.05,3.44,0,43.61,0,1.15,0.57,0,0,0,0,0,0,0,0,10.33,0,1.15,0,2.3
 60-70,0,0,0,0,2.94,0,0,21.59,0,0,7.85,0,0,0,30.43,0.98,0,0,8.83,6.87,0.98,49.08,0,0,0,0,0,0.98,0,0,1.96,0,0,6.87,0,0,0,2.94
 72-82,0,0,0,0,2.94,0.98,0,21.6,0.98,0.98,6.87,0.98,0,0,42.21,0,0,0,4.91,14.72,1.96,61.84,0,1.96,0,0,0,2.94,0,0,0,0,0,5.89,0,1.96,0.98,9.82
 84-94,0,0,0,0,3.19,1.06,0,5.31,0,0,7.43,2.12,0,0,54.16,0,1.06,1.06,22.3,11.68,1.06,49.92,0,0,1.06,0,0,5.31,0,0,0,0,0,0,1.06,0,0,6.37
 96-106,0,0,1.09,0,4.37,1.09,0,14.21,0,0,14.21,2.19,0,0,53.55,1.09,0,1.09,9.84,6.56,0,44.81,0,1.09,0,0,0,5.46,0,0,0,0,0,0,1.09,0,0,4.37
108-118,0,0,0,0.77,3.83,1.53,1.53,9.96,0.77,0,6.13,2.3,0,0,43.66,0,2.3,2.3,17.62,2.3,0,49.02,0,0.77,1.53,0,0.77,4.6,0,0,0,0,0,0.77,0,1.53,0.77,9.96
120,0,0,0,0,5.88,0,0,9.8,0,0,13.72,1.96,0,0,62.71,0,0,0,7.84,1.96,3.92,39.2,0,0,0,0,1.96,1.96,0,0,0,0,0,3.92,0,3.92,0,3.92
