stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,1,4,0,2,7,11,0,1,0,0
 24-34,0,0,0,1.64,0,0,5.75,0,0,0,1.64,0,0,0.82,0,1.64,0,0,0,0.82,3.28,0,0.82,46.79,0,0,0,0,0,2.46,0,0,0.82,4.93,13.95,0,2.46,0,0
 36-46,0,0,0,3.22,0,0,12.09,0.81,0,0,4.83,0,0,0,0.81,0.81,0,0,0,0.81,6.45,0,1.61,51.56,0.81,0.81,0.81,0,0,0,0,0,0.81,0,13.7,0,0,0,0
 48-58,0,0,0,1.72,0,0,12.62,0.57,0.57,0,7.46,0,0,1.15,0,0,0,0,0,0.57,6.89,0.57,1.72,16.64,0,1.15,0.57,0,0,1.15,0,0,0.57,0,6.31,0,2.3,0,0.57
 60-70,0,0,0,0.98,0,0,15.7,0,1.96,0,10.8,0.98,0,0.98,0,0,0,0,0,0,12.76,0,1.96,20.61,0,0,0,0,0,0,0,0,0,0,6.87,0,1.96,0,0
 72-82,0,0,0,1.96,0,0,5.89,0,0,0.98,10.8,0,0,0,0,0,0,0,0,0,12.76,0,0.98,31.41,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0
 84-94,0,0,0,4.25,1.06,0,18.05,0,1.06,0,5.31,0,0,0,1.06,1.06,0,1.06,1.06,0,7.43,0,2.12,11.68,0,1.06,4.25,0,0,5.31,0,1.06,0,0,2.12,1.06,3.19,2.12,0
 96-106,0,0,0,3.28,0,0,14.21,0,1.09,0,9.84,1.09,0,0,2.19,0,0,0,1.09,0,8.74,0,0,7.65,0,1.09,4.37,0,0,3.28,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,6.13,0,0.77,0.77,3.83,0.77,0,0,0,0,0.77,0.77,3.06,0,9.96,0.77,2.3,7.66,0,0,0,0,0.77,2.3,0,0.77,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,1.96,0,0,0,5.88,1.96,0,0,0,1.96,0,0,0,0,0,0,5.88,9.8,0,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0
