stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,487.58,8960.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,894.93,12020.21,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,245.19,18.39,0,147.11,122.59,0,0,0,0,0,0,0,0
  7-9,99.89,92,0,57.83,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,1758.61,336.48,0,3685.46,5.26,36.8,0,0,0,0,0,0,0
 10-12,3.15,72.38,0,116.44,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,365.05,135.32,0,3021.09,0,12.59,25.18,66.09,0,12.59,0,0,0
 14-21,0,6,0,0,16,20,1,0,0,0,2,0,1,0,0,0,4,7,70,97,1,327,1,0,1522,1,6,282,15,0,0
 24-34,0,0,0,0,0.82,0.82,0.82,0,4.1,0,0,0,0,0,0,0,4.93,2.46,23.8,13.95,0,0,0,0,0.82,0.82,0.82,120.67,5.75,0.82,0
 36-46,0,0,0,0,0,2.42,0.81,0,3.22,0,0,0,0,0,0,0,12.89,4.83,13.7,3.22,0,0,1.61,0,0,0,0,0.81,4.03,0.81,0
 48-58,0,0,0,0,0.57,0,2.87,0,0,2.3,0,0,0,0,0.57,0,29.26,1.15,36.72,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,10.8,0,3.93,0.98,0,0,0,0,0,0,27.48,0.98,40.24,0.98,0,0,0,0,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0.98,0,7.85,0,0,0.98,1.96,0,0,0,0,0,6.87,0,41.23,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,1.06,0,9.56,0,4.25,2.12,0,0,0,0,1.06,0,13.81,0,18.05,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,6.56,0,2.19,2.19,0,0,0,0,0,0,8.74,0,17.49,2.19,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,4.6,1.53,3.06,0.77,0.77,0,0,0,0,0.77,5.36,1.53,22.98,3.06,0.77,0,0.77,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,5.88,0,0,1.96,0,0,1.96,0,9.8,3.92,0,0,0,0,0,0,0,0,0,0,0
