stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,55.2,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,210.85,0,0,538.13,0,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,21,4,84,0,0,0,8,5,0,0,0,3,0,0,2,0,51,0,0,9,805,189,0,0,299,0,1,0,203,1,0,36,380,0,0,0,0,0
 24-34,0,0.82,0,0,17.24,0.82,86.19,0.82,0.82,7.39,21.34,0,0.82,3.28,0,3.28,0,0.82,0.82,0.82,105.89,0,0,22.16,3388.49,22.98,4.1,2.46,0,0,3.28,0,0,2.46,0.82,36.94,716.61,0,0,2.46,0,0
 36-46,0,0,0,0,6.45,0,97.49,0,0.81,6.45,137.77,0,0,2.42,1.61,0.81,0,2.42,0,0,128.1,0,2.42,12.89,5704.94,6.45,8.06,1.61,0,0,6.45,0,0,1.61,3.22,0,1355.14,0,0,4.03,0,0.81
 48-58,0,0,0,0,10.9,1.15,246.16,0,2.87,8.03,281.74,1.15,0,2.3,0.57,0,0.57,1.15,0,1.15,222.64,0.57,1.72,9.75,4270.26,3.44,3.44,0,0,0,4.02,0,0,1.72,1.72,0,1294.5,0,0.57,4.59,0,2.3
 60-70,0,0,0.98,0,2.94,0,224.77,0,0,6.87,184.53,0,0,3.93,1.96,0,0,4.91,0.98,0.98,211.03,0,0,4.91,2104.38,0.98,1.96,0.98,0,0.98,1.96,0,0,2.94,0,0,650.75,0.98,1.96,1.96,0,1.96
 72-82,0,0,0,0,7.85,3.93,134.49,0,0,11.78,150.19,0,0,0.98,0.98,0,0,3.93,0,0,161.97,0.98,0.98,8.83,1078.85,0,0,0.98,0,0,0,0,0,1.96,0,0,207.13,0.98,2.94,3.93,1.96,0
 84-94,0,0,0,0,11.68,0,139.13,1.06,0,8.5,111.51,0,0,1.06,1.06,1.06,1.06,3.19,1.06,0,123.2,0,1.06,5.31,503.41,0,2.12,1.06,0,0,1.06,0,0,1.06,0,0,154,0,0,3.19,0,0
 96-106,0,0,0,0,6.56,3.28,60.11,2.19,2.19,7.65,90.71,0,0,1.09,5.46,1.09,0,1.09,1.09,0,65.57,0,0,2.19,340.97,0,3.28,0,0,0,2.19,0,0,3.28,0,0,41.53,0,0,3.28,0,1.09
108-118,0,0,0.77,0,5.36,1.53,44.43,0.77,0.77,6.89,65.87,0,0,0,0,0,0,0,0,0.77,54.38,0,0,2.3,392.17,0.77,2.3,0.77,0,0,0.77,0,0,0.77,0,0,25.28,0.77,0,1.53,0,0.77
120,0,0,0,0,3.92,0,37.24,0,0,3.92,60.75,0,0,0,0,0,0,0,0,0,33.32,1.96,1.96,1.96,254.77,0,3.92,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
