stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,12.59,0,0,0
 14-21,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,0,12,0,3,872,3,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,6.57,20.52,0,0,0.82,0,0,0,0,2.46,343.12,3.28,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,2.42,0,0,6.45,7.25,0,0,0,0,0.81,0,0,4.03,15.31,0.81,0,0
 48-58,0,0,0,0.57,4.02,0.57,0.57,0,0.57,0,0,0.57,0,0,34.43,9.75,0,0,0,0,0.57,0,1.15,2.3,0,0.57,0.57,0
 60-70,0,0,0,1.96,18.65,0,0.98,0,0.98,0,0,1.96,0,0,32.39,4.91,0,0,0,0,1.96,0,0,0,0,2.94,0,0
 72-82,0,0,0,11.78,5.89,0,0.98,0,0.98,0,0,2.94,0,0,40.25,9.82,0.98,0,0,0,0,0,0,0.98,0,0.98,0,1.96
 84-94,0,0,1.06,1.06,8.5,0,0,0,2.12,0,0,1.06,1.06,0,25.49,6.37,1.06,1.06,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,1.09,7.65,0,1.09,0,1.09,1.09,0,1.09,0,1.09,42.62,0,0,0,0,0,1.09,0,0,0,0,1.09,1.09,2.19
108-118,0,0,0.77,3.83,3.83,0,0,0,0.77,0,0.77,1.53,0,0,52.85,6.89,0.77,0,0,0,0.77,0,0,2.3,0,0,0,1.53
120,0,1.96,1.96,0,9.8,0,1.96,0,1.96,0,0,0,0,0,64.67,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0
