stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,28,3,1,0,0,0,1,1,1,1,0,15,0,0,1,0,0
 24-34,0,0,2.46,0,0,3.28,0,0,0,0,0,0,1.64,0,0,0,0,0,3.28,0,0.82,91.12,0,23.8,0.82,0,0,2.46,0,4.93,0,0.82,70.59,0,0,0.82,0,0
 36-46,0,0.81,0.81,0,0,15.31,0,0,0,2.42,0,0.81,2.42,0,0,0,0,0.81,8.06,0,1.61,214.31,0,29,0,0,0,0.81,0,0.81,0,0,117.63,0,0,0.81,0,0.81
 48-58,0,0,1.72,0,0,28.12,0.57,0,1.15,4.59,0.57,0,1.15,0,0,0,0,0,6.31,0,0.57,328.22,0,19.51,0,0,0,1.72,0,0,0,0,79.19,0,0,1.15,0,1.72
 60-70,0,0,2.94,0,0,42.21,0,0,0.98,3.93,0,0,6.87,0,0,0,0,0,9.82,0,0,578.12,0,26.5,0,0,0,0.98,0,0,0.98,0,89.32,0,0,2.94,0.98,0
 72-82,0,0,9.82,1.96,0,86.39,0,1.96,0,12.76,0.98,0.98,10.8,0,0.98,0,0,0,21.6,0,2.94,984.61,0,37.3,0,0,0,2.94,0,0,0,0,99.15,0,0,3.93,0,0
 84-94,0,0,7.43,3.19,0,66.91,0,0,0,15.93,0,0,10.62,0,2.12,0,0,0,12.74,0,0,539.52,0,32.92,0,0,0,4.25,0,0,0,0,45.67,1.06,0,1.06,0,2.12
 96-106,0,0,8.74,3.28,0,71.04,3.28,0,0,17.49,1.09,2.19,13.11,0,0,2.19,2.19,0,17.49,0,0,502.71,1.09,57.92,0,0,0,6.56,0,0,0,0,46.99,0,1.09,2.19,0,5.46
108-118,0,0,10.72,0.77,1.53,38.3,0,0.77,0.77,12.26,2.3,0,16.09,0.77,0.77,0,0.77,0,16.09,0.77,2.3,656.43,0,36.77,0.77,0,0.77,10.72,0,0,0.77,0,29.11,1.53,0,2.3,0.77,5.36
120,1.96,0,3.92,0,0,37.24,0,1.96,1.96,23.52,0,0,13.72,0,0,0,0,0,21.56,0,3.92,629.09,1.96,23.52,0,1.96,0,9.8,0,0,0,0,47.03,0,0,1.96,1.96,0
