stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,0,0,1,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0.82,0,1.64,0,0,0.82,94.4,0,4.1,0,0,0,0,0,0,30.37,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0.81,0,2.42,0,0,0,0,0,0,0,0,0.81,0,0,0.81,252.17,0,4.03,0,0,0,0,0,0,41.09,0,0,0,0,0
 48-58,0,0,0,0,0,0,24.1,1.72,0,0,7.46,0,0,0,0,0,0.57,0,0.57,3.44,0,0,0.57,350.59,0,1.15,0,0,0,1.15,0,0,61.4,0,0,0,0,0
 60-70,0,0.98,0,1.96,0,0,66.74,0,0.98,0,10.8,0.98,0,0,0,0.98,0,0,0,16.69,0,0,0,477.02,0,2.94,0.98,0,0,0.98,0,0,68.71,0,0,0.98,0,0.98
 72-82,0,0.98,0,2.94,1.96,0,91.29,0,0.98,0,28.47,0.98,0,0,0,0,0,0,0.98,21.6,0,0,0,501.63,0,6.87,0,0,0.98,0.98,0,0.98,52.03,0,0,0,1.96,0
 84-94,0,0,0,9.56,1.06,0,74.34,0,0,0,14.87,2.12,0,0,0,0,0,0,0,14.87,0,2.12,1.06,217.72,0,7.43,2.12,0,0,1.06,0,0,19.12,1.06,2.12,0,1.06,2.12
 96-106,0,0,0,3.28,0,0,62.29,0,0,2.19,20.76,4.37,0,0,1.09,1.09,1.09,0,0,10.93,0,1.09,1.09,208.73,0,5.46,0,0,0,3.28,0,0,10.93,0,0,0,0,1.09
108-118,0,0.77,0,5.36,0.77,0.77,55.92,0,0,0,15.32,6.13,0,0.77,0.77,0.77,0,0.77,0,5.36,0.77,0.77,0.77,233.62,0.77,3.83,0.77,0,0.77,2.3,0,0,8.43,0,0,0.77,0.77,0
120,0,1.96,0,9.8,1.96,0,60.75,1.96,0,0,31.36,9.8,0,0,0,0,0,0,0,9.8,3.92,1.96,0,356.68,0,7.84,0,0,0,1.96,0,1.96,5.88,0,1.96,0,0,0
