stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,5,0,0,0,0,0,1,7,0,0,0,1,0,0,1,0,0,0,1
 24-34,0,0.82,0.82,0,4.1,0,0,0,6.57,0,0,0.82,0.82,0,0.82,11.49,0.82,0.82,0,0,0.82,0,0,0.82,0,0,3.28
 36-46,0,1.61,0,0,88.62,0,0,0,16.92,0,0,0,1.61,0,0,22.56,0,0,0,0,2.42,0,0,4.03,0,0,0.81
 48-58,0,0,0.57,0,175.58,1.72,0,0,7.46,0,0,0,1.15,0.57,0,37.3,0,0,0,0,0,0,0,5.74,0,0,1.15
 60-70,0,1.96,0,0,186.49,1.96,0,0,26.5,0,0,0,2.94,0,0,28.46,0,0,0,0,0,0,0,2.94,0,0,0.98
 72-82,0,1.96,0,0,150.19,1.96,0.98,0,40.25,0,0,0,3.93,0,0,28.47,0,0,0.98,0,0.98,0,0,1.96,0,0,2.94
 84-94,0,1.06,0,0,92.4,5.31,2.12,0,44.61,0,0,0,1.06,1.06,0,19.12,0,0,0,0,0,0,0,1.06,0,0,5.31
 96-106,0,1.09,1.09,0,67.76,3.28,0,0,76.5,0,1.09,0,4.37,0,1.09,7.65,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,3.83,0.77,0.77,75.83,0.77,2.3,0,77.36,0.77,0.77,0,0.77,0,1.53,20.68,0,0,0,0,0,0.77,0,0,0.77,0,5.36
120,0,0,1.96,0,74.47,1.96,1.96,0,58.79,0,0,0,1.96,0,0,17.64,0,0,0,0,1.96,0,0,0,0,0,7.84
