stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,18.39,674.26,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,5.26,28.92,0,31.54,0,0,73.6,0,0,0,15.77,0,0,0,0,699.24,7.89,0,0,223.44,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,3.15,53.5,0,0,0,0,0,0,0,0,261.2,3.15,0,0,116.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,3,0,3,0,0,0,0,4,3,25,1,0,0,1,2,0,4,0,1,5,0,0,0
 24-34,0,0,0,0,3.28,0,4.93,0.82,0,0,0,0,0.82,3.28,1.64,18.06,0,0.82,0,0,1.64,0,0,0,0,2.46,0.82,0,0.82
 36-46,0,0,0,0,0.81,0,3.22,0,0.81,0,0,0,0,0.81,0,9.67,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0.57,0,5.16,0.57,0,0,0,0,0,3.44,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,2.94,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0,0.98,8.83,1.96,3.93,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,8.5,0,1.06,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,1.09,0,1.09,0,2.19,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,4.6,0.77,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
