stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0
 24-34,0,0,0.82,0.82,0,0.82,0.82,0,0,0,0,0.82,0,0.82,0,2.46,0,0.82,0,0,0,0.82,0,0.82,0,0.82
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,0,0,11.28,0.81,0.81,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,2.3,0,0.57,0,0,0,0.57,0.57,0,0.57,15.49,0,0.57,0,0,0.57,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,4.91,0,0,0,0,0,0,1.96,0,0,49.08,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,8.83,0,8.83,0,0,0.98,0,1.96,0,0,63.81,0,0,3.93,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,6.37,0,6.37,0,1.06,0,0,2.12,0,0,31.86,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,7.65,0,9.84,0,0,0,1.09,2.19,0,0,43.71,0,0,3.28,0,0,0,0,2.19,0,0
108-118,0,0,0,0.77,1.53,5.36,0,8.43,0.77,0,0,1.53,3.06,0,0,33.7,0,0,3.83,0,0,0,0,0,0,0
120,0,0,0,0,0,9.8,1.96,3.92,0,0,0,0,0,0,0,35.28,0,0,3.92,0,0,0,0,5.88,0,0
