stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,34.62,0,0,0,0,0,44.06,0,0,0,0,0
 14-21,0,0,11,2,2,0,0,0,2,1,0,1,0,0,0,0,10,0,26,60,2,0,0,3,0,4,106,2,221,2431,20,0,0,0,0
 24-34,0,0,4.93,0,7.39,9.03,0,0.82,0,0,0,0,0,0,0.82,0.82,7.39,0,28.73,68.13,1.64,0,0,0.82,0,5.75,3.28,0,53.36,679.67,21.34,0,3.28,0,0.82
 36-46,0,0,0,0,2.42,13.7,0,0,0.81,0,0.81,0,0,0,0,0.81,2.42,0,52.37,21.75,0.81,0,0,0,0,0,0.81,0,29,21.75,4.03,0,0,0,0
 48-58,0,0,1.72,0.57,16.07,16.64,1.15,0.57,1.15,0,0.57,0.57,0.57,0,0,0,6.89,0,151.48,45.33,0,0,0,1.15,0,2.3,0.57,0,18.36,0.57,8.61,0,0,0,0.57
 60-70,0,0,0.98,0,10.8,50.06,0,0,2.94,0,0,0,0,0,0,0,10.8,0,119.75,28.46,0,0,0,0,0.98,4.91,0.98,0,13.74,0,2.94,0,0.98,0,0.98
 72-82,0,0.98,1.96,0.98,22.58,48.1,0,0.98,7.85,0,0,0,0,0,0,0,12.76,0.98,152.16,31.41,0,0,0,0.98,0,2.94,0,0,8.83,0,0,0.98,0.98,0.98,0
 84-94,0,0,4.25,0,25.49,58.41,0,0,4.25,0,0,0,1.06,0,1.06,0,7.43,1.06,152.93,22.3,0,1.06,1.06,0,0,2.12,0,0,6.37,0,2.12,2.12,1.06,0,0
 96-106,0,0,8.74,1.09,28.41,73.22,4.37,2.19,5.46,1.09,1.09,1.09,0,2.19,1.09,0,17.49,1.09,175.95,24.04,3.28,1.09,1.09,0,1.09,5.46,0,0,8.74,0,4.37,1.09,2.19,0,0
108-118,0,0,2.3,0.77,13.02,51.32,0,1.53,3.06,0.77,1.53,0,0.77,0.77,1.53,0,10.72,0.77,202.21,36.77,0,0,0,0,0,0.77,0,0,7.66,0,0,0,1.53,0.77,0
120,0,0,1.96,3.92,9.8,64.67,0,0,0,3.92,0,0,0,0,1.96,0,19.6,0,274.37,25.48,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
