stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,immune,mesenchyme,mucous,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,3.15,6.29,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0.98,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0.77,0,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
