stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,4.93,0,7.39,0,0.82,0,0,0,0,1.64,0,0,0,3.28,0,0,0,13.13,0,0.82,3.28,0,0.82,9.85,0,4.1,0,0,0,0
 36-46,0,0,0,4.03,0,3.22,0,0.81,0,1.61,0,0,0,0,0,0,4.83,0,0,0,9.67,0,0,0,0,0,8.06,0,3.22,0,0,0,0
 48-58,0,0,0,4.59,0,2.3,0,0.57,0,2.3,0.57,0.57,0,0.57,0,0.57,3.44,0.57,0,0.57,7.46,0,0.57,0.57,0,0,4.02,0,0.57,0,0,0,0
 60-70,0,0,0,7.85,0,3.93,0,4.91,0.98,5.89,6.87,0.98,0,0.98,0,0.98,14.72,0,0,0,4.91,0.98,0,3.93,0,0,3.93,0,0.98,0,0.98,0,0
 72-82,0,0,0,2.94,0,3.93,0.98,0.98,0,8.83,0,0,0,1.96,0,0,21.6,0,0,1.96,3.93,0,0,2.94,0,0,0,2.94,0,1.96,0.98,2.94,0
 84-94,0,0,0,4.25,0,1.06,0,2.12,0,3.19,2.12,1.06,0,1.06,1.06,0,10.62,0,1.06,0,3.19,0,0,6.37,0,0,3.19,0,0,0,0,1.06,1.06
 96-106,0,0,0,4.37,1.09,1.09,0,0,0,5.46,1.09,0,1.09,0,0,2.19,5.46,0,0,0,2.19,0,0,1.09,0,0,1.09,0,2.19,0,0,1.09,0
108-118,0,0,0,2.3,0,3.06,0.77,0,0,3.83,2.3,0,0,0.77,0,0,13.79,0,1.53,1.53,1.53,0,0,2.3,0,0,1.53,0,0,0,0.77,0.77,0
120,0,0,0,13.72,0,1.96,0,3.92,0,9.8,1.96,0,0,1.96,3.92,0,19.6,0,0,9.8,11.76,0,1.96,11.76,0,0,9.8,0,1.96,1.96,0,3.92,0
