stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
 24-34,3.28,0,0,0,0,0,0.82,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,5.64,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,1.15,0,0,0,1.72,0,0,0,0,0,0.57,0,0,7.46,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,1.96,0,0,0,14.72,0,0,0,0,0,0,0,0,22.58,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0.98,0,1.96,0,105.04,2.94,0.98,0,0,0,0,0,0,26.5,0,0.98,0,0,0,0,0,0,1.96,0,0,0,0.98,0
 84-94,2.12,0,2.12,0,72.22,5.31,0,0,1.06,0,1.06,0,0,19.12,1.06,0,0,0,1.06,0,0,0,2.12,0,0,0,1.06,0
 96-106,5.46,0,2.19,0,147.53,5.46,2.19,1.09,0,1.09,3.28,0,1.09,44.81,0,1.09,2.19,0,0,0,0,0,0,0,3.28,0,5.46,0
108-118,1.53,0,0,0,127.92,8.43,3.83,0,0,0.77,9.96,0.77,0,50.55,0.77,0.77,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0.77
120,3.92,0,0,0,115.63,7.84,0,0,0,0,3.92,1.96,0,82.31,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
