stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0
 14-21,0,1,0,0,6,0,0,0,3,0,0,0,0,0,10,0,0
 24-34,0,0.82,0,0,2.46,0.82,0.82,0,1.64,0.82,0,0,0.82,0,5.75,0,0.82
 36-46,0,0,0,0,2.42,0,1.61,0,4.03,2.42,0,0,0,1.61,9.67,0,0
 48-58,0,0,0.57,0,5.16,0,1.72,0,0.57,2.3,0.57,0,0,0,8.03,0,0
 60-70,0,0,0,0,8.83,0,0,0,2.94,1.96,0,0,0,0,6.87,0,0
 72-82,0,0,0.98,0.98,10.8,0,0.98,0,0.98,1.96,0,0,0,0,7.85,0,0
 84-94,0,0,0,0,12.74,0,1.06,0,1.06,1.06,0,0,0,1.06,2.12,1.06,0
 96-106,0,0,0,1.09,9.84,0,3.28,2.19,1.09,3.28,1.09,0,0,1.09,5.46,0,0
108-118,0,0,0.77,0.77,14.55,0,3.06,0,0.77,3.83,0.77,0,0,0,7.66,0,0
120,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,0
