stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,neural,olfactory,otic,pgc,pronephros,slow.muscle,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,1,0,1,2,0,7
 24-34,0,0,0,0,4.93,0,0,4.1,0,0,0,8.21,0,10.67
 36-46,0,0,0,0,3.22,0,0,2.42,2.42,0,0,0.81,0,7.25
 48-58,0,0,0,0,4.59,0,0,2.3,0.57,0,0,1.15,0.57,6.89
 60-70,0,0,0,0,4.91,0,0,0.98,0,0.98,0,0.98,0,4.91
 72-82,0,0,0.98,0,3.93,0,0.98,2.94,1.96,0,0,0.98,0,4.91
 84-94,0,0,3.19,0,1.06,0,1.06,3.19,2.12,2.12,0,2.12,0,4.25
 96-106,0,0,3.28,0,3.28,1.09,0,2.19,3.28,3.28,0,0,0,1.09
108-118,0,0,0,0,2.3,0,0,0,0.77,0.77,0,0.77,0,2.3
120,0,0,0,1.96,0,0,0,3.92,0,0,0,1.96,0,0
