stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,37.76,0,0,15.73,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24,1,0,4,0,1,0,2,0,1,0,0,0,0,6,12,0,0,9,24,99,0,0,0,0,0,0,6,1,0,2,7,0,0,1,0,3
 24-34,0,0,0,80.44,0,0,6.57,0,9.85,1.64,1.64,0,1.64,0,0,0,0.82,33.66,39.4,0,0,22.98,41.04,184.69,1.64,0,0,0,12.31,0,0,0,0,2.46,7.39,0,0,5.75,0,18.06
 36-46,0,0,0,54.79,0,0,5.64,0.81,11.28,10.47,6.45,0,2.42,0,0,2.42,0,43.51,45.12,0,0,28.2,33.84,132.94,4.03,0,0,0,16.11,0.81,0,3.22,0,0,4.03,0,0,4.03,0,16.11
 48-58,0,0,0.57,91.81,0,0,14.35,0,18.94,12.62,16.07,0,0.57,0,0,7.46,0,38.44,95.83,0.57,1.15,23.53,38.44,96.97,4.59,0.57,0,0,16.64,0,0,0,0,0,5.16,0,0,9.75,0,30.99
 60-70,0,0,0,87.36,0,0,9.82,0.98,25.52,18.65,37.3,0,0,0,0,12.76,0,14.72,147.23,1.96,1.96,8.83,34.35,57.91,6.87,1.96,0.98,1.96,19.63,0,0,0,0.98,0,2.94,0,0.98,2.94,0,20.61
 72-82,0,0,0,174.74,0.98,0,15.71,0,40.25,28.47,86.39,0,1.96,0.98,1.96,22.58,0.98,21.6,237.56,3.93,5.89,12.76,60.86,44.17,8.83,0.98,0,2.94,26.5,0,0,0,0,0,3.93,0.98,2.94,13.74,3.93,36.32
 84-94,1.06,0,0,257.01,1.06,0,21.24,0,66.91,23.36,41.42,1.06,0,1.06,1.06,26.55,0,39.3,186.92,2.12,5.31,5.31,30.8,84.96,4.25,1.06,0,2.12,66.91,0,0,0,0,0,2.12,1.06,2.12,11.68,1.06,25.49
 96-106,0,0,0,306,1.09,1.09,16.39,1.09,67.76,10.93,53.55,1.09,2.19,2.19,2.19,13.11,1.09,33.88,127.86,1.09,3.28,9.84,33.88,40.44,12.02,2.19,0,2.19,43.71,0,0,0,0,0,0,0,4.37,16.39,2.19,31.69
108-118,0.77,0,0,327.83,3.06,0.77,11.49,0.77,99.58,16.85,55.15,1.53,0.77,2.3,0,24.51,0.77,46.72,52.85,0,2.3,7.66,31.4,47.49,1.53,0,0,4.6,22.98,0,0,0,0,0,0.77,1.53,0,11.49,0.77,45.19
120,1.96,0,0,317.49,0,0,9.8,1.96,86.23,9.8,66.63,0,0,0,0,17.64,0,25.48,78.39,3.92,1.96,7.84,39.2,62.71,3.92,0,0,5.88,25.48,0,0,0,0,0,0,0,0,7.84,1.96,19.6
