stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,9.44,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,19,1,0,0,1,0,1,0,0,10,0,0,3,0,0
 24-34,0,1.64,1.64,3.28,0,0,7.39,0,0,2.46,1.64,0,0.82,0.82,3.28,0,0,0,0,11.49,0,0,9.03,94.4,0,1.64,0.82,0,5.75,0,0.82,0,36.12,0,0,7.39,0,0.82
 36-46,0,0,0,4.03,0.81,0,16.92,0,0,8.86,0.81,0,0,3.22,0,0,0,0,0.81,4.83,1.61,0,4.03,69.29,0,4.03,0,0,14.5,0,1.61,0,34.64,0,0,4.03,0,0
 48-58,0,0,0,1.72,0,0,13.2,1.15,0.57,5.74,0,0,0,3.44,0.57,0,0,0.57,0,8.03,1.15,0,1.15,30.41,0.57,1.15,2.3,0,3.44,0,0.57,0.57,8.61,0,0,2.87,0,0
 60-70,0,0,0,4.91,0,0,32.39,0,0.98,5.89,2.94,0,0,4.91,0,1.96,0,0.98,0,4.91,0,0,1.96,37.3,0,1.96,3.93,0,2.94,0,0,0,3.93,0.98,0.98,0.98,0.98,0
 72-82,0,0.98,0,0,0.98,0,20.61,0,0,5.89,3.93,0,0,1.96,0.98,0,0.98,0.98,0,16.69,1.96,0,0,33.38,0,2.94,4.91,0,0.98,0,1.96,0,2.94,0.98,0,1.96,0.98,0
 84-94,0,2.12,0,1.06,0,1.06,10.62,0,0,3.19,7.43,0,0,2.12,3.19,0,0,0,0,6.37,1.06,2.12,0,19.12,0,2.12,1.06,0,5.31,0,3.19,0,0,2.12,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,4.37,0,0,3.28,10.93,0,0,1.09,0,1.09,2.19,0,0,3.28,0,0,0,24.04,0,4.37,1.09,0,1.09,0,2.19,0,0,1.09,0,3.28,3.28,0
108-118,0,0,0,2.3,0.77,2.3,5.36,0,0.77,0.77,4.6,0,0,0.77,2.3,0,0.77,0.77,0.77,6.13,0.77,0,0.77,23.74,0,2.3,2.3,0,0.77,0,0,0,0.77,0.77,1.53,0,0,0
120,0,1.96,0,1.96,0,0,5.88,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,1.96,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,1.96
