stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,40.91,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,9,23,2,0,3,0,0,0,0,13,0,0,0,0,0,0,9,0,4,0,0,4,18,8,0,0,0,2,1,4,19,3,5,13,0,0,0,0,0
 24-34,0,1.64,4.1,14.78,0.82,0,4.1,0,1.64,0,0.82,4.93,0,0.82,0,0,0,0.82,19.7,0,13.95,0,0,9.85,18.06,13.13,0.82,0.82,0,22.16,0,0,42.68,0,1.64,6.57,0,0,0.82,0,0
 36-46,0,0.81,0.81,1.61,0,0,2.42,0,1.61,2.42,0.81,2.42,0.81,0,0,0.81,0,0,4.83,0,8.06,0.81,0,4.83,13.7,4.03,0.81,1.61,0,13.7,0,0,21.75,0,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,0.57,3.44,0,0,3.44,0,1.15,4.02,5.74,8.61,0.57,0,0,1.15,0,0.57,7.46,1.15,27.54,0.57,0,4.02,9.18,6.31,0,0,0,13.77,0,0,12.62,0,0,6.31,0,0,1.72,0,1.15
 60-70,0,0,0,4.91,0,0,6.87,0,2.94,3.93,7.85,26.5,0,0,0,0,0.98,0.98,25.52,0,67.73,0.98,0,9.82,11.78,1.96,1.96,2.94,0,15.7,0,0,18.65,0,0,2.94,0,0,1.96,0,3.93
 72-82,0,12.76,1.96,4.91,0,3.93,7.85,0,0,9.82,22.58,123.69,1.96,0.98,2.94,0.98,0,3.93,114.85,0,113.87,0.98,0,4.91,62.83,1.96,0.98,3.93,0,9.82,0,0,55.95,0,0,3.93,0,0.98,3.93,2.94,3.93
 84-94,0,8.5,3.19,14.87,0,4.25,11.68,0,3.19,7.43,8.5,248.52,1.06,0,5.31,1.06,2.12,2.12,406.76,0,60.54,0,1.06,4.25,29.74,6.37,0,1.06,0,28.68,0,0,115.76,0,0,4.25,1.06,0,3.19,0,2.12
 96-106,0,4.37,3.28,16.39,5.46,10.93,25.14,0,4.37,5.46,13.11,387.96,0,2.19,2.19,3.28,3.28,3.28,675.38,0,50.27,1.09,0,3.28,120.21,4.37,2.19,1.09,0,17.49,0,0,127.86,0,0,3.28,1.09,1.09,4.37,4.37,1.09
108-118,0,5.36,1.53,9.19,6.13,41.36,11.49,0,3.06,1.53,3.83,409.79,0,0,1.53,1.53,1.53,4.6,1266.14,0.77,40.6,0,0.77,5.36,98.81,3.06,0.77,3.06,0,9.96,0,0,116.43,0.77,0,2.3,2.3,0,4.6,1.53,1.53
120,0,1.96,0,15.68,5.88,3.92,5.88,1.96,1.96,1.96,3.92,243.01,0,0,7.84,0,0,0,525.22,0,21.56,1.96,1.96,5.88,47.03,0,1.96,1.96,0,19.6,1.96,0,56.83,0,0,0,0,0,3.92,0,0
