stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,1,3,1,0,0,0,1,0,3
 24-34,0,0,1.64,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0.57,0,0.57,0,2.87,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0
