stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,1,2,2,0,1,0
 24-34,0,0.82,0.82,0.82,0,3.28,0.82,0,0,0,0,0.82,0,2.46,0,0.82,14.78,0.82,0.82,0.82,0,1.64,0,3.28,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0,0,14.5,0.81,0,0,0,0,0,2.42,0,1.61,0
 48-58,0,0,0,0.57,0,3.44,0,0,1.15,0.57,0,0,0,0.57,0,0,8.61,0,0,0,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,1.96,0,9.82,0,0,2.94,0,0,0,0,1.96,0,0,13.74,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,6.87,0,0,4.91,0,0,0,0,2.94,0,0,8.83,0,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,1.06,0,1.06,2.12,4.25,0,1.06,2.12,0,0,0,2.12,4.25,1.06,3.19,7.43,0,0,0,0,2.12,0,1.06,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,0,2.19,0,0,0,0,3.28,0,0,3.28,0,1.09,0,0,2.19,0,0,0,1.09,1.09
108-118,0,0,0,2.3,0,1.53,0,0,1.53,0,0.77,0,0,0,0,0,4.6,0,0,0,0,1.53,0,0,0.77,0.77,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,5.88,0,0,0,0,1.96,0,0,1.96,1.96,1.96
