stage,blastomeres,epidermis,eye,fin.epithelia,glial,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0
 24-34,0,0,0.82,0,0.82,0,0,0,1.64,0,0,4.1,0,0.82,0,0,0.82,1.64,0.82
 36-46,0,0,1.61,0.81,0.81,0,0,0,0,0,0.81,10.47,0,0,0.81,0,0,3.22,0
 48-58,0,0,2.3,0,0,0,0,0,1.15,0,0,10.9,0,0,0,0,0,0.57,0
 60-70,0,0,1.96,0,2.94,0,0,0.98,1.96,0,0,9.82,0.98,0,0,0,0,0.98,0
 72-82,0,0,1.96,0,0,0,0,0,1.96,0.98,0,4.91,0,0,0,0,0,0,0.98
 84-94,0,1.06,0,0,1.06,1.06,0,0,1.06,0,0,7.43,0,0,0,0,0,1.06,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,4.37,0,0,1.09,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,3.92,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0
