stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,1,2,0,0,0,0,0,0,0,4,0,2,3,2,0
 24-34,0.82,0.82,0,0,0,0,0.82,0,0,8.21,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0,2.42,0
 48-58,0.57,1.15,0.57,0,0,0,0,0.57,0.57,2.87,0,0,0,1.15,0
 60-70,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,3.93,0,0,0.98,0,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,3.19,1.06,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0
