stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,5,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,3.28,0,0,5.75,0,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,6.45,0,2.42,10.47,0.81,0.81,0.81,0,0,0.81,0,0,0,0.81,0,4.03,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0.57,0.57,0.57,0,0,0,6.31,1.15,0.57,16.64,1.15,0,0.57,0,0,0,0,0,0,4.02,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0.98,0,0.98,0,0.98,0,0,0.98,19.63,1.96,1.96,46.13,0.98,0,0,0,0.98,0,0,0,0,1.96,0.98,0,0,0
 72-82,0,0,0,0,1.96,0,0,3.93,0,0,0,0.98,0,0,0,0,0,0,14.72,0.98,0.98,85.4,0,0.98,1.96,0,0,0,0,0,0,3.93,1.96,5.89,0,0.98
 84-94,0,0,0,0,1.06,0,2.12,4.25,1.06,0,0,0,1.06,0,0,0,1.06,1.06,9.56,0,1.06,46.73,1.06,0,1.06,0,0,0,0,1.06,0,1.06,3.19,0,0,0
 96-106,0,0,0,0,3.28,0,3.28,10.93,0,0,1.09,0,0,2.19,1.09,0,0,1.09,12.02,0,4.37,67.76,1.09,0,1.09,0,0,0,0,0,0,1.09,2.19,7.65,1.09,1.09
108-118,0,0,0,0,1.53,0,13.02,9.19,0,0.77,3.83,1.53,1.53,1.53,1.53,1.53,0,0.77,16.85,0.77,1.53,97.28,1.53,0,3.06,0,0,0,0,1.53,0,3.83,1.53,3.06,0.77,0
120,0,0,1.96,0,1.96,0,5.88,11.76,0,3.92,3.92,0,0,3.92,0,0,1.96,0,13.72,0,1.96,176.38,1.96,0,3.92,0,0,0,0,1.96,0,9.8,0,0,0,0
