stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,2622.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,570.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,12.59,0,0,37.76,0,0,3.15,3.15,6.29,0,9.44,0,0,0,0,0,0
 14-21,0,0,2,0,6,198,0,11,0,0,0,5,0,0,8,1,0,1,0,0,48,0,0,28,48,1,1,2,2,0,13,0,14,0,109,544,25,0,0,33,0,0
 24-34,0,0.82,1.64,0.82,5.75,96.86,0,109.17,20.52,0,0,0.82,0,0,5.75,2.46,0,0.82,0,0,63.21,0,0,43.51,124.77,4.1,0,3.28,0.82,0,128.05,0,0,0.82,73.06,198.65,25.45,0,0,87.01,0,0.82
 36-46,0,0,0.81,0,1.61,12.89,0,329.52,29,1.61,4.83,7.25,0,0,3.22,0.81,0,3.22,0,0.81,102.32,1.61,1.61,26.59,90.23,4.03,0,2.42,0.81,0,159.52,0,0,0,43.51,8.06,25.78,0,0.81,31.42,0,0
 48-58,0,0,0,0,3.44,20.66,0,346,12.62,1.15,4.59,21.8,0.57,0,1.72,4.59,0,0.57,0,0,134.84,0,6.31,27.54,76.32,2.87,0.57,4.59,0,0,74.59,0,0,0,16.64,0,16.07,0,0,30.41,0,4.59
 60-70,0.98,0,0,0,2.94,33.37,0,444.63,15.7,3.93,4.91,56.93,0,0,3.93,8.83,0.98,1.96,0.98,0.98,223.79,0,10.8,24.54,77.54,3.93,0,4.91,0,0,151.15,0,0,0.98,10.8,0,13.74,0,1.96,28.46,3.93,7.85
 72-82,0,0,0.98,0,8.83,104.06,0,291.55,13.74,3.93,7.85,102.09,2.94,0,2.94,20.61,0.98,3.93,4.91,1.96,342.6,0,14.72,35.34,80.5,0,0,18.65,0,0,164.92,0.98,0,0,9.82,0,18.65,0,7.85,40.25,7.85,7.85
 84-94,0,0,1.06,0,12.74,91.34,0,278.25,21.24,18.05,3.19,64.78,0,0,5.31,31.86,1.06,5.31,1.06,0,207.1,0,15.93,24.43,53.1,0,0,15.93,0,0,380.21,0,0,1.06,8.5,0,7.43,2.12,5.31,31.86,9.56,8.5
 96-106,0,0,1.09,0,4.37,68.85,1.09,189.06,26.23,18.58,7.65,64.48,1.09,0,13.11,36.06,1.09,3.28,6.56,1.09,246.98,0,10.93,24.04,68.85,1.09,0,30.6,0,0,287.42,0,0,1.09,8.74,0,15.3,7.65,5.46,43.71,9.84,12.02
108-118,0,0,0,0,6.13,57.45,1.53,170.04,24.51,36,6.13,65.11,3.06,0,3.83,33.7,3.83,4.6,3.06,0,235.15,0.77,21.45,38.3,60.51,3.06,0,19.92,0,1.53,274.21,0,0,1.53,8.43,0,7.66,5.36,3.06,29.87,6.13,9.96
120,0,0,0,0,15.68,92.11,0,133.27,17.64,21.56,1.96,62.71,0,0,3.92,39.2,0,7.84,1.96,1.96,211.66,1.96,11.76,33.32,70.55,0,0,17.64,0,0,229.29,0,0,1.96,1.96,0,13.72,7.84,1.96,13.72,17.64,3.92
